"","Year","Age","Female","Male","Total"
"1",1841,"0","0.151591","0.186518","0.169328"
"2",1841,"1","0.074919","0.074129","0.074521"
"3",1841,"2","0.041705","0.039831","0.040759"
"4",1841,"3","0.025456","0.023330","0.024385"
"5",1841,"4","0.018484","0.017070","0.017771"
"6",1841,"5","0.013921","0.012404","0.013153"
"7",1841,"6","0.012826","0.010196","0.011493"
"8",1841,"7","0.010937","0.008001","0.009445"
"9",1841,"8","0.008810","0.007010","0.007894"
"10",1841,"9","0.008139","0.006961","0.007538"
"11",1841,"10","0.007395","0.006028","0.006693"
"12",1841,"11","0.006760","0.005194","0.005962"
"13",1841,"12","0.006504","0.004902","0.005711"
"14",1841,"13","0.006896","0.004954","0.005944"
"15",1841,"14","0.007472","0.005100","0.006302"
"16",1841,"15","0.008171","0.005387","0.006777"
"17",1841,"16","0.008831","0.005898","0.007345"
"18",1841,"17","0.009090","0.006636","0.007855"
"19",1841,"18","0.009237","0.007573","0.008403"
"20",1841,"19","0.009219","0.008631","0.008924"
"21",1841,"20","0.009198","0.009940","0.009573"
"22",1841,"21","0.009246","0.011203","0.010234"
"23",1841,"22","0.009383","0.012029","0.010718"
"24",1841,"23","0.009897","0.012756","0.011336"
"25",1841,"24","0.009361","0.011434","0.010402"
"26",1841,"25","0.009453","0.010307","0.009883"
"27",1841,"26","0.010257","0.010157","0.010207"
"28",1841,"27","0.010151","0.009331","0.009743"
"29",1841,"28","0.010470","0.009126","0.009800"
"30",1841,"29","0.010405","0.008814","0.009606"
"31",1841,"30","0.010095","0.008506","0.009290"
"32",1841,"31","0.010531","0.009096","0.009810"
"33",1841,"32","0.010891","0.009568","0.010233"
"34",1841,"33","0.011077","0.009389","0.010231"
"35",1841,"34","0.010575","0.008429","0.009487"
"36",1841,"35","0.011095","0.008338","0.009689"
"37",1841,"36","0.012638","0.009216","0.010897"
"38",1841,"37","0.012928","0.009327","0.011099"
"39",1841,"38","0.013421","0.009717","0.011540"
"40",1841,"39","0.013065","0.009563","0.011276"
"41",1841,"40","0.012748","0.009504","0.011079"
"42",1841,"41","0.013692","0.010666","0.012148"
"43",1841,"42","0.014422","0.011809","0.013107"
"44",1841,"43","0.014278","0.011847","0.013053"
"45",1841,"44","0.012759","0.010718","0.011730"
"46",1841,"45","0.012538","0.010888","0.011716"
"47",1841,"46","0.014091","0.013027","0.013577"
"48",1841,"47","0.014088","0.013704","0.013908"
"49",1841,"48","0.014388","0.014466","0.014424"
"50",1841,"49","0.014602","0.014993","0.014777"
"51",1841,"50","0.015321","0.015587","0.015439"
"52",1841,"51","0.017267","0.017586","0.017409"
"53",1841,"52","0.018924","0.019731","0.019279"
"54",1841,"53","0.019557","0.020852","0.020131"
"55",1841,"54","0.017315","0.018576","0.017886"
"56",1841,"55","0.017010","0.018702","0.017793"
"57",1841,"56","0.020140","0.022937","0.021444"
"58",1841,"57","0.021060","0.024489","0.022665"
"59",1841,"58","0.022236","0.025960","0.023982"
"60",1841,"59","0.023554","0.027241","0.025281"
"61",1841,"60","0.025593","0.028176","0.026821"
"62",1841,"61","0.029439","0.031705","0.030522"
"63",1841,"62","0.034056","0.037295","0.035588"
"64",1841,"63","0.037055","0.041134","0.038978"
"65",1841,"64","0.036192","0.040110","0.038055"
"66",1841,"65","0.038983","0.043317","0.041063"
"67",1841,"66","0.046376","0.052222","0.049176"
"68",1841,"67","0.048339","0.054616","0.051332"
"69",1841,"68","0.052255","0.057636","0.054828"
"70",1841,"69","0.055639","0.058502","0.057020"
"71",1841,"70","0.059595","0.059980","0.059781"
"72",1841,"71","0.066898","0.066803","0.066853"
"73",1841,"72","0.073535","0.073767","0.073645"
"74",1841,"73","0.079796","0.079961","0.079874"
"75",1841,"74","0.080475","0.081392","0.080906"
"76",1841,"75","0.085460","0.086909","0.086144"
"77",1841,"76","0.100166","0.102332","0.101193"
"78",1841,"77","0.106138","0.111169","0.108504"
"79",1841,"78","0.111675","0.120260","0.115665"
"80",1841,"79","0.117710","0.128458","0.122672"
"81",1841,"80","0.135445","0.150158","0.142165"
"82",1841,"81","0.148598","0.165917","0.156440"
"83",1841,"82","0.162619","0.182136","0.171373"
"84",1841,"83","0.177240","0.197870","0.186398"
"85",1841,"84","0.191719","0.211271","0.200299"
"86",1841,"85","0.205397","0.220595","0.211983"
"87",1841,"86","0.219369","0.228929","0.223456"
"88",1841,"87","0.234350","0.238513","0.236102"
"89",1841,"88","0.249995","0.250701","0.250287"
"90",1841,"89","0.264857","0.265948","0.265300"
"91",1841,"90","0.277199","0.285388","0.280472"
"92",1841,"91","0.286337","0.303699","0.293179"
"93",1841,"92","0.293439","0.316754","0.302556"
"94",1841,"93","0.301165","0.322586","0.309587"
"95",1841,"94","0.314146","0.326202","0.318950"
"96",1841,"95","0.340783","0.330600","0.336624"
"97",1841,"96","0.361349","0.312732","0.340587"
"98",1841,"97","0.354175","0.310345","0.336081"
"99",1841,"98","0.363944","0.378838","0.369325"
"100",1841,"99","0.407508","0.404603","0.406425"
"101",1841,"100","0.421824","0.552756","0.475257"
"102",1841,"101","0.462236","0.707022","0.556279"
"103",1841,"102","0.584718","1.068000","0.756949"
"104",1841,"103","0.000000","6.000000","0.789474"
"105",1841,"104",".",".","."
"106",1841,"105",".",".","."
"107",1841,"106",".",".","."
"108",1841,"107",".",".","."
"109",1841,"108",".",".","."
"110",1841,"109",".",".","."
"111",1841,"110+",".",".","."
"112",1842,"0","0.160108","0.191811","0.176212"
"113",1842,"1","0.084947","0.080682","0.082796"
"114",1842,"2","0.044142","0.042162","0.043142"
"115",1842,"3","0.029418","0.028904","0.029158"
"116",1842,"4","0.021934","0.019395","0.020653"
"117",1842,"5","0.015800","0.015009","0.015400"
"118",1842,"6","0.013647","0.012540","0.013086"
"119",1842,"7","0.012067","0.010257","0.011148"
"120",1842,"8","0.010608","0.008976","0.009778"
"121",1842,"9","0.010089","0.007778","0.008911"
"122",1842,"10","0.009058","0.006474","0.007738"
"123",1842,"11","0.008239","0.005505","0.006834"
"124",1842,"12","0.007781","0.005040","0.006382"
"125",1842,"13","0.007726","0.005186","0.006467"
"126",1842,"14","0.008401","0.005773","0.007110"
"127",1842,"15","0.009117","0.006389","0.007769"
"128",1842,"16","0.009466","0.006807","0.008133"
"129",1842,"17","0.009732","0.007364","0.008531"
"130",1842,"18","0.009633","0.008135","0.008879"
"131",1842,"19","0.009475","0.009077","0.009276"
"132",1842,"20","0.009252","0.010024","0.009640"
"133",1842,"21","0.009312","0.010936","0.010133"
"134",1842,"22","0.009510","0.011734","0.010631"
"135",1842,"23","0.009785","0.012073","0.010938"
"136",1842,"24","0.010438","0.012291","0.011369"
"137",1842,"25","0.009919","0.010636","0.010279"
"138",1842,"26","0.009970","0.009647","0.009808"
"139",1842,"27","0.010777","0.009680","0.010228"
"140",1842,"28","0.010651","0.009027","0.009841"
"141",1842,"29","0.011010","0.008928","0.009971"
"142",1842,"30","0.010985","0.008624","0.009798"
"143",1842,"31","0.010684","0.008131","0.009388"
"144",1842,"32","0.011137","0.008544","0.009832"
"145",1842,"33","0.011461","0.008943","0.010209"
"146",1842,"34","0.011551","0.008841","0.010192"
"147",1842,"35","0.010904","0.008119","0.009490"
"148",1842,"36","0.011425","0.008400","0.009879"
"149",1842,"37","0.013102","0.009681","0.011358"
"150",1842,"38","0.013550","0.010075","0.011782"
"151",1842,"39","0.014294","0.010649","0.012439"
"152",1842,"40","0.014087","0.010430","0.012216"
"153",1842,"41","0.013590","0.010048","0.011765"
"154",1842,"42","0.014319","0.011006","0.012626"
"155",1842,"43","0.014711","0.012037","0.013364"
"156",1842,"44","0.014078","0.012049","0.013054"
"157",1842,"45","0.012138","0.011045","0.011587"
"158",1842,"46","0.011976","0.011743","0.011860"
"159",1842,"47","0.013775","0.014735","0.014239"
"160",1842,"48","0.014172","0.016017","0.015037"
"161",1842,"49","0.014955","0.017199","0.015981"
"162",1842,"50","0.015538","0.017783","0.016542"
"163",1842,"51","0.016124","0.018067","0.016987"
"164",1842,"52","0.017965","0.019958","0.018848"
"165",1842,"53","0.019592","0.022046","0.020672"
"166",1842,"54","0.020251","0.023026","0.021478"
"167",1842,"55","0.018115","0.020345","0.019125"
"168",1842,"56","0.018622","0.020673","0.019570"
"169",1842,"57","0.023159","0.025768","0.024374"
"170",1842,"58","0.025053","0.027848","0.026360"
"171",1842,"59","0.026986","0.029840","0.028322"
"172",1842,"60","0.028585","0.031444","0.029922"
"173",1842,"61","0.030101","0.032049","0.031026"
"174",1842,"62","0.033603","0.035476","0.034497"
"175",1842,"63","0.037960","0.041110","0.039448"
"176",1842,"64","0.040394","0.044515","0.042333"
"177",1842,"65","0.038675","0.042450","0.040467"
"178",1842,"66","0.041817","0.045640","0.043648"
"179",1842,"67","0.050305","0.055680","0.052872"
"180",1842,"68","0.052556","0.059030","0.055634"
"181",1842,"69","0.056896","0.063705","0.060142"
"182",1842,"70","0.060266","0.066231","0.063137"
"183",1842,"71","0.063435","0.068978","0.066112"
"184",1842,"72","0.070578","0.077846","0.074046"
"185",1842,"73","0.077550","0.086500","0.081768"
"186",1842,"74","0.084823","0.093575","0.088936"
"187",1842,"75","0.086531","0.093941","0.090004"
"188",1842,"76","0.094337","0.099423","0.096733"
"189",1842,"77","0.114450","0.117274","0.115786"
"190",1842,"78","0.123545","0.126505","0.124933"
"191",1842,"79","0.131408","0.135696","0.133394"
"192",1842,"80","0.146599","0.152206","0.149167"
"193",1842,"81","0.161116","0.167442","0.163988"
"194",1842,"82","0.176450","0.183895","0.179798"
"195",1842,"83","0.192189","0.201057","0.196136"
"196",1842,"84","0.207379","0.217706","0.211925"
"197",1842,"85","0.221049","0.232600","0.226077"
"198",1842,"86","0.234503","0.247352","0.240033"
"199",1842,"87","0.248240","0.263222","0.254606"
"200",1842,"88","0.261906","0.281180","0.269973"
"201",1842,"89","0.274337","0.302459","0.285879"
"202",1842,"90","0.283776","0.326025","0.300726"
"203",1842,"91","0.290017","0.347473","0.312547"
"204",1842,"92","0.293825","0.364459","0.320931"
"205",1842,"93","0.299435","0.373326","0.327472"
"206",1842,"94","0.319877","0.377930","0.342126"
"207",1842,"95","0.374354","0.394176","0.382152"
"208",1842,"96","0.449425","0.396287","0.427420"
"209",1842,"97","0.521787","0.357392","0.447812"
"210",1842,"98","0.545455","0.351239","0.460290"
"211",1842,"99","0.613941","0.496450","0.570365"
"212",1842,"100","0.477458","0.688385","0.554483"
"213",1842,"101","0.539267","0.945073","0.681586"
"214",1842,"102","0.659111","1.680556","0.938569"
"215",1842,"103","0.924949","6.000000","1.314607"
"216",1842,"104","0.000000",".","0.000000"
"217",1842,"105",".",".","."
"218",1842,"106",".",".","."
"219",1842,"107",".",".","."
"220",1842,"108",".",".","."
"221",1842,"109",".",".","."
"222",1842,"110+",".",".","."
"223",1843,"0","0.148207","0.181553","0.165171"
"224",1843,"1","0.073448","0.076220","0.074846"
"225",1843,"2","0.040891","0.041216","0.041055"
"226",1843,"3","0.028322","0.024643","0.026463"
"227",1843,"4","0.018932","0.017359","0.018136"
"228",1843,"5","0.014434","0.014090","0.014260"
"229",1843,"6","0.011675","0.009978","0.010818"
"230",1843,"7","0.010900","0.009134","0.010004"
"231",1843,"8","0.010248","0.008078","0.009145"
"232",1843,"9","0.010173","0.007564","0.008844"
"233",1843,"10","0.008953","0.006391","0.007646"
"234",1843,"11","0.007689","0.005227","0.006430"
"235",1843,"12","0.007019","0.004500","0.005723"
"236",1843,"13","0.006850","0.004290","0.005542"
"237",1843,"14","0.007220","0.004711","0.005975"
"238",1843,"15","0.008313","0.005567","0.006962"
"239",1843,"16","0.009030","0.006229","0.007644"
"240",1843,"17","0.009299","0.006678","0.007984"
"241",1843,"18","0.009525","0.007316","0.008403"
"242",1843,"19","0.009424","0.008220","0.008817"
"243",1843,"20","0.009338","0.009273","0.009306"
"244",1843,"21","0.009353","0.010030","0.009693"
"245",1843,"22","0.009621","0.010600","0.010115"
"246",1843,"23","0.009924","0.010932","0.010432"
"247",1843,"24","0.010179","0.010665","0.010424"
"248",1843,"25","0.010690","0.010214","0.010450"
"249",1843,"26","0.009938","0.008642","0.009287"
"250",1843,"27","0.009818","0.007873","0.008840"
"251",1843,"28","0.010509","0.008113","0.009310"
"252",1843,"29","0.010345","0.007947","0.009149"
"253",1843,"30","0.010713","0.008349","0.009531"
"254",1843,"31","0.010704","0.008341","0.009515"
"255",1843,"32","0.010441","0.008005","0.009203"
"256",1843,"33","0.010954","0.008481","0.009707"
"257",1843,"34","0.011374","0.008857","0.010120"
"258",1843,"35","0.011609","0.008681","0.010139"
"259",1843,"36","0.011155","0.007999","0.009550"
"260",1843,"37","0.011855","0.008369","0.010071"
"261",1843,"38","0.013702","0.009805","0.011711"
"262",1843,"39","0.014160","0.010396","0.012241"
"263",1843,"40","0.014769","0.011157","0.012928"
"264",1843,"41","0.014107","0.010890","0.012458"
"265",1843,"42","0.013240","0.010443","0.011797"
"266",1843,"43","0.013709","0.011447","0.012552"
"267",1843,"44","0.013947","0.012578","0.013257"
"268",1843,"45","0.013407","0.012710","0.013055"
"269",1843,"46","0.012036","0.011850","0.011942"
"270",1843,"47","0.012414","0.012715","0.012564"
"271",1843,"48","0.014748","0.015888","0.015299"
"272",1843,"49","0.015366","0.016887","0.016079"
"273",1843,"50","0.016047","0.017478","0.016701"
"274",1843,"51","0.016047","0.017416","0.016658"
"275",1843,"52","0.016157","0.017268","0.016650"
"276",1843,"53","0.017755","0.018935","0.018277"
"277",1843,"54","0.019353","0.021075","0.020111"
"278",1843,"55","0.020275","0.022464","0.021242"
"279",1843,"56","0.018619","0.020362","0.019408"
"280",1843,"57","0.019487","0.021201","0.020279"
"281",1843,"58","0.024339","0.027025","0.025588"
"282",1843,"59","0.025941","0.029580","0.027638"
"283",1843,"60","0.027122","0.031784","0.029300"
"284",1843,"61","0.027644","0.032970","0.030129"
"285",1843,"62","0.028507","0.033011","0.030642"
"286",1843,"63","0.031883","0.036100","0.033892"
"287",1843,"64","0.036792","0.041495","0.039008"
"288",1843,"65","0.040582","0.044666","0.042498"
"289",1843,"66","0.040430","0.042694","0.041502"
"290",1843,"67","0.045171","0.046378","0.045748"
"291",1843,"68","0.055557","0.057520","0.056493"
"292",1843,"69","0.058014","0.061503","0.059668"
"293",1843,"70","0.061979","0.066739","0.064242"
"294",1843,"71","0.064156","0.068721","0.066347"
"295",1843,"72","0.066327","0.070792","0.068478"
"296",1843,"73","0.073383","0.079665","0.076371"
"297",1843,"74","0.080791","0.088355","0.084340"
"298",1843,"75","0.089098","0.095417","0.092055"
"299",1843,"76","0.091037","0.095468","0.093107"
"300",1843,"77","0.099509","0.101104","0.100259"
"301",1843,"78","0.121871","0.120483","0.121214"
"302",1843,"79","0.130209","0.129532","0.129892"
"303",1843,"80","0.138094","0.141181","0.139515"
"304",1843,"81","0.149642","0.154379","0.151806"
