"","Year","Age","Female","Male","Total"
"1",1878,"0","0.183012","0.210539","0.197043"
"2",1878,"1","0.083604","0.082672","0.083135"
"3",1878,"2","0.046830","0.044617","0.045723"
"4",1878,"3","0.028227","0.028042","0.028135"
"5",1878,"4","0.021384","0.019451","0.020412"
"6",1878,"5","0.015688","0.014799","0.015239"
"7",1878,"6","0.012565","0.012000","0.012282"
"8",1878,"7","0.010022","0.009763","0.009892"
"9",1878,"8","0.008247","0.007237","0.007740"
"10",1878,"9","0.006419","0.006716","0.006569"
"11",1878,"10","0.006680","0.005925","0.006299"
"12",1878,"11","0.005780","0.005149","0.005464"
"13",1878,"12","0.005600","0.004896","0.005248"
"14",1878,"13","0.005142","0.003868","0.004506"
"15",1878,"14","0.005023","0.004088","0.004556"
"16",1878,"15","0.005694","0.004894","0.005294"
"17",1878,"16","0.006267","0.004677","0.005476"
"18",1878,"17","0.006136","0.004800","0.005470"
"19",1878,"18","0.005836","0.006353","0.006096"
"20",1878,"19","0.005697","0.006349","0.006026"
"21",1878,"20","0.005691","0.007076","0.006387"
"22",1878,"21","0.006059","0.006637","0.006348"
"23",1878,"22","0.007170","0.008092","0.007632"
"24",1878,"23","0.006059","0.006675","0.006366"
"25",1878,"24","0.006818","0.008317","0.007563"
"26",1878,"25","0.005928","0.007321","0.006621"
"27",1878,"26","0.008329","0.009230","0.008772"
"28",1878,"27","0.008484","0.008008","0.008252"
"29",1878,"28","0.008471","0.007751","0.008120"
"30",1878,"29","0.007475","0.007713","0.007591"
"31",1878,"30","0.007946","0.009005","0.008463"
"32",1878,"31","0.007380","0.007976","0.007672"
"33",1878,"32","0.007322","0.007619","0.007468"
"34",1878,"33","0.008386","0.007896","0.008146"
"35",1878,"34","0.008613","0.007573","0.008106"
"36",1878,"35","0.009162","0.010348","0.009740"
"37",1878,"36","0.008481","0.008107","0.008299"
"38",1878,"37","0.009060","0.010068","0.009549"
"39",1878,"38","0.009766","0.010363","0.010057"
"40",1878,"39","0.009692","0.010144","0.009913"
"41",1878,"40","0.010492","0.012272","0.011359"
"42",1878,"41","0.010563","0.012937","0.011717"
"43",1878,"42","0.011361","0.012675","0.012000"
"44",1878,"43","0.011471","0.013090","0.012255"
"45",1878,"44","0.010319","0.012505","0.011374"
"46",1878,"45","0.009109","0.011556","0.010287"
"47",1878,"46","0.012306","0.013550","0.012900"
"48",1878,"47","0.012299","0.015487","0.013821"
"49",1878,"48","0.010228","0.017686","0.013787"
"50",1878,"49","0.011044","0.017365","0.014054"
"51",1878,"50","0.014039","0.017760","0.015808"
"52",1878,"51","0.015921","0.021714","0.018654"
"53",1878,"52","0.015359","0.020490","0.017764"
"54",1878,"53","0.014766","0.022833","0.018540"
"55",1878,"54","0.014380","0.020642","0.017295"
"56",1878,"55","0.019817","0.022187","0.020921"
"57",1878,"56","0.020265","0.026124","0.022989"
"58",1878,"57","0.024279","0.029347","0.026611"
"59",1878,"58","0.019605","0.031264","0.024910"
"60",1878,"59","0.024818","0.033045","0.028523"
"61",1878,"60","0.032743","0.038349","0.035264"
"62",1878,"61","0.033675","0.046481","0.039451"
"63",1878,"62","0.034746","0.049118","0.041204"
"64",1878,"63","0.039439","0.041575","0.040392"
"65",1878,"64","0.039586","0.046925","0.042831"
"66",1878,"65","0.045740","0.055951","0.050183"
"67",1878,"66","0.050646","0.054752","0.052410"
"68",1878,"67","0.059193","0.070896","0.064228"
"69",1878,"68","0.061708","0.064534","0.062918"
"70",1878,"69","0.055349","0.061358","0.057888"
"71",1878,"70","0.066019","0.075501","0.070029"
"72",1878,"71","0.084894","0.085552","0.085169"
"73",1878,"72","0.088402","0.105786","0.095538"
"74",1878,"73","0.089580","0.111102","0.098431"
"75",1878,"74","0.090608","0.105830","0.096916"
"76",1878,"75","0.105741","0.109795","0.107401"
"77",1878,"76","0.123218","0.109658","0.117802"
