"","Year","Age","Female","Male","Total"
"1",1838,"0","0.368191","0.414640","0.391757"
"2",1838,"1","0.043882","0.045203","0.044529"
"3",1838,"2","0.028297","0.029026","0.028650"
"4",1838,"3","0.020060","0.023360","0.021647"
"5",1838,"4","0.014492","0.018589","0.016440"
"6",1838,"5","0.011892","0.012895","0.012394"
"7",1838,"6","0.009609","0.008935","0.009265"
"8",1838,"7","0.007765","0.006734","0.007254"
"9",1838,"8","0.007043","0.005463","0.006258"
"10",1838,"9","0.007076","0.004865","0.005938"
"11",1838,"10","0.007152","0.005204","0.006152"
"12",1838,"11","0.007263","0.005923","0.006594"
"13",1838,"12","0.006892","0.005943","0.006421"
"14",1838,"13","0.005949","0.005197","0.005576"
"15",1838,"14","0.005425","0.004659","0.005045"
"16",1838,"15","0.005437","0.004737","0.005099"
"17",1838,"16","0.006101","0.005262","0.005690"
"18",1838,"17","0.007052","0.006317","0.006687"
"19",1838,"18","0.007691","0.007850","0.007769"
"20",1838,"19","0.007952","0.009221","0.008583"
"21",1838,"20","0.008234","0.011168","0.009682"
"22",1838,"21","0.008588","0.013328","0.010867"
"23",1838,"22","0.009843","0.015026","0.012380"
"24",1838,"23","0.011668","0.016594","0.014126"
"25",1838,"24","0.012025","0.016883","0.014365"
"26",1838,"25","0.011216","0.014518","0.012768"
"27",1838,"26","0.009948","0.012263","0.011009"
"28",1838,"27","0.009218","0.010717","0.009909"
"29",1838,"28","0.008849","0.009872","0.009332"
"30",1838,"29","0.007939","0.009157","0.008527"
"31",1838,"30","0.006720","0.009043","0.007826"
"32",1838,"31","0.006757","0.010509","0.008483"
"33",1838,"32","0.008559","0.012415","0.010388"
"34",1838,"33","0.011655","0.015365","0.013439"
"35",1838,"34","0.013932","0.017680","0.015676"
"36",1838,"35","0.014385","0.016988","0.015581"
"37",1838,"36","0.013655","0.014563","0.014083"
"38",1838,"37","0.014023","0.013656","0.013845"
"39",1838,"38","0.014473","0.014653","0.014558"
"40",1838,"39","0.013879","0.014691","0.014259"
"41",1838,"40","0.012682","0.013645","0.013138"
"42",1838,"41","0.011006","0.013446","0.012124"
"43",1838,"42","0.010513","0.013651","0.011974"
"44",1838,"43","0.010929","0.014772","0.012771"
"45",1838,"44","0.011191","0.017527","0.014135"
"46",1838,"45","0.013001","0.022815","0.017415"
"47",1838,"46","0.013679","0.025604","0.018890"
"48",1838,"47","0.014375","0.023599","0.018641"
"49",1838,"48","0.016443","0.023636","0.019900"
"50",1838,"49","0.018376","0.024747","0.021370"
"51",1838,"50","0.021055","0.024777","0.022794"
"52",1838,"51","0.024426","0.025413","0.024892"
"53",1838,"52","0.029998","0.031013","0.030474"
"54",1838,"53","0.034549","0.044430","0.038831"
"55",1838,"54","0.031682","0.047919","0.038727"
"56",1838,"55","0.026250","0.048747","0.036004"
"57",1838,"56","0.024271","0.053120","0.036398"
"58",1838,"57","0.025624","0.055637","0.038232"
"59",1838,"58","0.028832","0.059024","0.041217"
"60",1838,"59","0.032588","0.059563","0.043370"
"61",1838,"60","0.039575","0.060624","0.048026"
"62",1838,"61","0.043849","0.062586","0.051201"
"63",1838,"62","0.046392","0.063190","0.052963"
"64",1838,"63","0.050996","0.066703","0.057271"
"65",1838,"64","0.050325","0.066797","0.057016"
"66",1838,"65","0.046866","0.068026","0.055375"
"67",1838,"66","0.043387","0.069577","0.053494"
"68",1838,"67","0.045500","0.068832","0.054647"
"69",1838,"68","0.053931","0.070386","0.060621"
"70",1838,"69","0.069960","0.076201","0.072581"
"71",1838,"70","0.090636","0.089619","0.090218"
"72",1838,"71","0.098147","0.099653","0.098730"
"73",1838,"72","0.108729","0.107162","0.108118"
"74",1838,"73","0.118060","0.115531","0.117050"
"75",1838,"74","0.127406","0.131159","0.128933"
"76",1838,"75","0.135460","0.164949","0.147156"
"77",1838,"76","0.129566","0.169765","0.145801"
"78",1838,"77","0.125980","0.167049","0.143058"
"79",1838,"78","0.125696","0.183416","0.148551"
"80",1838,"79","0.135819","0.185679","0.155723"
"81",1838,"80","0.153218","0.177828","0.163192"
"82",1838,"81","0.179813","0.168658","0.175218"
"83",1838,"82","0.218092","0.163253","0.195488"
"84",1838,"83","0.258900","0.161192","0.220053"
"85",1838,"84","0.291531","0.161002","0.243123"
"86",1838,"85","0.328706","0.175009","0.276294"
"87",1838,"86","0.355927","0.179358","0.298771"
"88",1838,"87","0.358601","0.166308","0.297184"
"89",1838,"88","0.345334","0.158611","0.287965"
"90",1838,"89","0.319269","0.154168","0.270513"
"91",1838,"90","0.297305","0.157625","0.256589"
"92",1838,"91","0.287864","0.171213","0.254632"
"93",1838,"92","0.292652","0.197260","0.266118"
"94",1838,"93","0.321772","0.238504","0.299109"
"95",1838,"94","0.341787","0.256972","0.317914"
"96",1838,"95","0.302609","0.272000","0.295082"
"97",1838,"96","0.321799","0.241860","0.300126"
"98",1838,"97","0.397878","0.204668","0.334123"
"99",1838,"98","0.437647","0.215470","0.371287"
"100",1838,"99","0.445667","0.242424","0.402162"
"101",1838,"100","2.919708",".","2.919708"
"102",1838,"101",".",".","."
"103",1838,"102",".",".","."
"104",1838,"103",".",".","."
"105",1838,"104",".",".","."
"106",1838,"105",".",".","."
"107",1838,"106",".",".","."
"108",1838,"107",".",".","."
"109",1838,"108",".",".","."
"110",1838,"109",".",".","."
"111",1838,"110+",".",".","."
"112",1839,"0","0.400977","0.409554","0.405304"
"113",1839,"1","0.098093","0.088842","0.093429"
"114",1839,"2","0.063768","0.061564","0.062687"
"115",1839,"3","0.027664","0.026319","0.027012"
"116",1839,"4","0.009986","0.007908","0.008987"
"117",1839,"5","0.010895","0.008399","0.009708"
"118",1839,"6","0.014159","0.010442","0.012297"
"119",1839,"7","0.014816","0.011041","0.012891"
"120",1839,"8","0.013602","0.011329","0.012474"
"121",1839,"9","0.011975","0.010913","0.011447"
"122",1839,"10","0.009269","0.009463","0.009369"
"123",1839,"11","0.006044","0.008398","0.007253"
"124",1839,"12","0.003369","0.007739","0.005550"
"125",1839,"13","0.001763","0.006414","0.004069"
"126",1839,"14","0.001815","0.005045","0.003416"
"127",1839,"15","0.003232","0.004570","0.003896"
"128",1839,"16","0.004731","0.005065","0.004892"
"129",1839,"17","0.006589","0.006150","0.006374"
"130",1839,"18","0.008655","0.007974","0.008317"
"131",1839,"19","0.010203","0.010472","0.010336"
"132",1839,"20","0.010936","0.012584","0.011755"
"133",1839,"21","0.011534","0.014647","0.013069"
"134",1839,"22","0.012118","0.016939","0.014430"
"135",1839,"23","0.013689","0.018720","0.016145"
"136",1839,"24","0.015795","0.020385","0.018080"
"137",1839,"25","0.015569","0.020676","0.018024"
"138",1839,"26","0.013411","0.018667","0.015877"
"139",1839,"27","0.010906","0.016876","0.013636"
"140",1839,"28","0.009163","0.015871","0.012250"
"141",1839,"29","0.007722","0.015764","0.011515"
"142",1839,"30","0.005914","0.015585","0.010571"
"143",1839,"31","0.004664","0.016043","0.010063"
"144",1839,"32","0.004702","0.018654","0.011091"
"145",1839,"33","0.006275","0.021343","0.013389"
"146",1839,"34","0.009242","0.024839","0.016702"
"147",1839,"35","0.011603","0.026270","0.018396"
"148",1839,"36","0.011930","0.023130","0.017055"
"149",1839,"37","0.011750","0.018891","0.015108"
"150",1839,"38","0.013151","0.017801","0.015411"
"151",1839,"39","0.015536","0.020122","0.017713"
"152",1839,"40","0.017878","0.022231","0.019909"
"153",1839,"41","0.020279","0.023796","0.021941"
"154",1839,"42","0.020829","0.026021","0.023203"
"155",1839,"43","0.021544","0.027208","0.024175"
"156",1839,"44","0.021684","0.028134","0.024767"
"157",1839,"45","0.019046","0.029610","0.023932"
"158",1839,"46","0.018080","0.032909","0.024705"
"159",1839,"47","0.016334","0.032753","0.023451"
"160",1839,"48","0.015831","0.027789","0.021330"
"161",1839,"49","0.018101","0.026602","0.022170"
"162",1839,"50","0.021243","0.027929","0.024374"
"163",1839,"51","0.025405","0.029650","0.027384"
"164",1839,"52","0.030010","0.031715","0.030814"
"165",1839,"53","0.036719","0.038325","0.037471"
"166",1839,"54","0.040774","0.051592","0.045431"
"167",1839,"55","0.035285","0.049077","0.041214"
"168",1839,"56","0.029000","0.044301","0.035560"
"169",1839,"57","0.027315","0.046243","0.035161"
"170",1839,"58","0.029309","0.049769","0.037782"
"171",1839,"59","0.033335","0.057344","0.043035"
"172",1839,"60","0.037381","0.063998","0.047860"
"173",1839,"61","0.043371","0.069527","0.053731"
"174",1839,"62","0.046783","0.072772","0.056843"
"175",1839,"63","0.049605","0.070974","0.057861"
"176",1839,"64","0.056056","0.068837","0.061111"
"177",1839,"65","0.058444","0.060513","0.059278"
"178",1839,"66","0.059563","0.057381","0.058692"
"179",1839,"67","0.058224","0.059897","0.058864"
"180",1839,"68","0.061157","0.065806","0.062966"
"181",1839,"69","0.069248","0.079293","0.073310"
"182",1839,"70","0.082947","0.102967","0.091319"
"183",1839,"71","0.096615","0.136622","0.112934"
"184",1839,"72","0.095776","0.159522","0.119994"
"185",1839,"73","0.101056","0.168352","0.126772"
"186",1839,"74","0.107141","0.167484","0.130782"
"187",1839,"75","0.116063","0.166785","0.136298"
"188",1839,"76","0.127707","0.184835","0.149694"
"189",1839,"77","0.123014","0.166565","0.140127"
"190",1839,"78","0.117435","0.148681","0.130148"
"191",1839,"79","0.110803","0.157949","0.128909"
"192",1839,"80","0.108917","0.162970","0.129913"
"193",1839,"81","0.111926","0.170911","0.135351"
"194",1839,"82","0.123432","0.182935","0.147707"
"195",1839,"83","0.149970","0.203990","0.172326"
"196",1839,"84","0.192522","0.230269","0.207827"
"197",1839,"85","0.247160","0.251357","0.248776"
"198",1839,"86","0.306553","0.275254","0.295251"
"199",1839,"87","0.352679","0.280220","0.327262"
"200",1839,"88","0.361828","0.260715","0.326263"
"201",1839,"89","0.339830","0.264300","0.314428"
"202",1839,"90","0.299078","0.283919","0.294289"
"203",1839,"91","0.272167","0.307824","0.283004"
"204",1839,"92","0.260180","0.340357","0.283391"
"205",1839,"93","0.257884","0.376917","0.290792"
"206",1839,"94","0.272620","0.390456","0.304083"
"207",1839,"95","0.253205","0.000000","0.177728"
"208",1839,"96","0.174399","0.000000","0.127399"
"209",1839,"97","0.136966","0.000000","0.096025"
"210",1839,"98","0.141343","0.000000","0.088300"
"211",1839,"99","0.163724","0.000000","0.107030"
"212",1839,"100","4.316547","0.000000","1.846154"
"213",1839,"101",".",".","."
"214",1839,"102",".",".","."
"215",1839,"103",".",".","."
"216",1839,"104",".",".","."
"217",1839,"105",".",".","."
"218",1839,"106",".",".","."
