"","Year","Age","Female","Male","Total"
"1",1850,"0","0.203847","0.243150","0.223855"
"2",1850,"1","0.064087","0.067497","0.065806"
"3",1850,"2","0.032135","0.033367","0.032753"
"4",1850,"3","0.019046","0.020285","0.019668"
"5",1850,"4","0.013872","0.015508","0.014694"
"6",1850,"5","0.011730","0.011918","0.011825"
"7",1850,"6","0.009213","0.009483","0.009349"
"8",1850,"7","0.007921","0.008106","0.008014"
"9",1850,"8","0.007204","0.007176","0.007190"
"10",1850,"9","0.006389","0.006047","0.006216"
"11",1850,"10","0.005727","0.005357","0.005540"
"12",1850,"11","0.005209","0.004770","0.004988"
"13",1850,"12","0.004603","0.004166","0.004383"
"14",1850,"13","0.004506","0.003670","0.004083"
"15",1850,"14","0.005514","0.004189","0.004845"
"16",1850,"15","0.005784","0.004149","0.004963"
"17",1850,"16","0.005162","0.003975","0.004565"
"18",1850,"17","0.006000","0.005253","0.005626"
"19",1850,"18","0.006605","0.007206","0.006906"
"20",1850,"19","0.006643","0.007521","0.007080"
"21",1850,"20","0.007028","0.008264","0.007637"
"22",1850,"21","0.006626","0.009019","0.007808"
"23",1850,"22","0.008292","0.009530","0.008903"
"24",1850,"23","0.007697","0.009175","0.008419"
"25",1850,"24","0.007348","0.008191","0.007758"
"26",1850,"25","0.008861","0.009223","0.009039"
"27",1850,"26","0.008866","0.008935","0.008900"
"28",1850,"27","0.009828","0.009374","0.009604"
"29",1850,"28","0.011152","0.009039","0.010108"
"30",1850,"29","0.011208","0.009223","0.010234"
"31",1850,"30","0.010112","0.008878","0.009508"
"32",1850,"31","0.010737","0.008227","0.009504"
"33",1850,"32","0.012897","0.009910","0.011422"
"34",1850,"33","0.012623","0.010496","0.011580"
"35",1850,"34","0.012617","0.009647","0.011158"
"36",1850,"35","0.011591","0.009782","0.010701"
"37",1850,"36","0.011902","0.010171","0.011055"
"38",1850,"37","0.012864","0.010108","0.011513"
"39",1850,"38","0.014377","0.011823","0.013126"
"40",1850,"39","0.013879","0.012175","0.013051"
"41",1850,"40","0.013901","0.011914","0.012940"
"42",1850,"41","0.013732","0.013014","0.013382"
"43",1850,"42","0.014632","0.014421","0.014529"
"44",1850,"43","0.013325","0.013737","0.013525"
"45",1850,"44","0.011980","0.013943","0.012937"
"46",1850,"45","0.013888","0.015531","0.014688"
"47",1850,"46","0.013476","0.015329","0.014380"
"48",1850,"47","0.013500","0.015137","0.014299"
"49",1850,"48","0.014054","0.017326","0.015636"
"50",1850,"49","0.013730","0.015625","0.014634"
"51",1850,"50","0.013711","0.018107","0.015817"
"52",1850,"51","0.015389","0.019265","0.017275"
"53",1850,"52","0.017882","0.023255","0.020501"
"54",1850,"53","0.017307","0.020869","0.019019"
