"","Year","Age","Female","Male","Total"
"1",1846,"0","0.109496","0.130214","0.120036"
"2",1846,"1","0.049836","0.052406","0.051138"
"3",1846,"2","0.027931","0.027557","0.027740"
"4",1846,"3","0.020497","0.019277","0.019883"
"5",1846,"4","0.013957","0.013436","0.013697"
"6",1846,"5","0.009950","0.009860","0.009905"
"7",1846,"6","0.008612","0.008418","0.008515"
"8",1846,"7","0.007351","0.006971","0.007159"
"9",1846,"8","0.006279","0.006066","0.006172"
"10",1846,"9","0.004574","0.004777","0.004677"
"11",1846,"10","0.003117","0.003757","0.003440"
"12",1846,"11","0.002803","0.003604","0.003207"
"13",1846,"12","0.002844","0.003752","0.003303"
"14",1846,"13","0.003350","0.003662","0.003509"
"15",1846,"14","0.003650","0.003514","0.003580"
"16",1846,"15","0.003826","0.003746","0.003785"
"17",1846,"16","0.003802","0.004288","0.004048"
"18",1846,"17","0.003617","0.005041","0.004336"
"19",1846,"18","0.003816","0.005791","0.004806"
"20",1846,"19","0.004599","0.006868","0.005734"
"21",1846,"20","0.005192","0.007589","0.006379"
"22",1846,"21","0.005405","0.007704","0.006527"
"23",1846,"22","0.005406","0.007772","0.006558"
"24",1846,"23","0.005581","0.007553","0.006541"
"25",1846,"24","0.005698","0.007341","0.006494"
"26",1846,"25","0.005670","0.007433","0.006523"
"27",1846,"26","0.005927","0.007259","0.006572"
"28",1846,"27","0.006316","0.007247","0.006768"
"29",1846,"28","0.006325","0.006937","0.006623"
"30",1846,"29","0.006287","0.007043","0.006655"
"31",1846,"30","0.006497","0.007600","0.007036"
"32",1846,"31","0.007581","0.007960","0.007768"
"33",1846,"32","0.008750","0.008925","0.008836"
"34",1846,"33","0.008089","0.008286","0.008186"
"35",1846,"34","0.007661","0.008093","0.007875"
"36",1846,"35","0.008352","0.009039","0.008695"
"37",1846,"36","0.009183","0.010504","0.009842"
"38",1846,"37","0.008714","0.010228","0.009461"
"39",1846,"38","0.007616","0.008445","0.008026"
"40",1846,"39","0.008351","0.009438","0.008893"
"41",1846,"40","0.008893","0.009738","0.009313"
"42",1846,"41","0.008895","0.010306","0.009591"
"43",1846,"42","0.009647","0.011503","0.010556"
"44",1846,"43","0.009875","0.011898","0.010856"
"45",1846,"44","0.009946","0.013324","0.011589"
"46",1846,"45","0.009318","0.012348","0.010794"
"47",1846,"46","0.009150","0.012258","0.010660"
"48",1846,"47","0.009700","0.014425","0.011990"
"49",1846,"48","0.009912","0.015185","0.012463"
"50",1846,"49","0.011547","0.017491","0.014416"
"51",1846,"50","0.012395","0.017106","0.014662"
"52",1846,"51","0.011579","0.015492","0.013457"
"53",1846,"52","0.013186","0.016641","0.014840"
"54",1846,"53","0.013938","0.016518","0.015171"
"55",1846,"54","0.014699","0.018611","0.016561"
"56",1846,"55","0.016489","0.020952","0.018607"
"57",1846,"56","0.016581","0.022256","0.019268"
"58",1846,"57","0.016536","0.023286","0.019722"
"59",1846,"58","0.017901","0.024428","0.020972"
"60",1846,"59","0.024660","0.028265","0.026348"
