"","Year","Age","Female","Male","Total"
"1",1751,"0","0.212235","0.241105","0.226774"
"2",1751,"1","0.049412","0.052949","0.051169"
"3",1751,"2","0.032247","0.034587","0.033409"
"4",1751,"3","0.026006","0.027883","0.026936"
"5",1751,"4","0.023696","0.025692","0.024681"
"6",1751,"5","0.018761","0.020801","0.019766"
"7",1751,"6","0.012956","0.014635","0.013788"
"8",1751,"7","0.008769","0.010147","0.009457"
"9",1751,"8","0.006078","0.007238","0.006660"
"10",1751,"9","0.004939","0.005895","0.005421"
"11",1751,"10","0.005203","0.006013","0.005610"
"12",1751,"11","0.005747","0.006496","0.006121"
"13",1751,"12","0.006169","0.006858","0.006511"
"14",1751,"13","0.006427","0.007054","0.006738"
"15",1751,"14","0.006469","0.007040","0.006752"
"16",1751,"15","0.006123","0.006743","0.006429"
"17",1751,"16","0.005699","0.006413","0.006047"
"18",1751,"17","0.005518","0.006323","0.005907"
"19",1751,"18","0.005520","0.006552","0.006010"
"20",1751,"19","0.005650","0.007048","0.006298"
"21",1751,"20","0.006000","0.007683","0.006771"
"22",1751,"21","0.006465","0.008280","0.007297"
"23",1751,"22","0.006891","0.008732","0.007736"
"24",1751,"23","0.007262","0.008916","0.008030"
"25",1751,"24","0.007633","0.008989","0.008271"
"26",1751,"25","0.007930","0.009018","0.008446"
"27",1751,"26","0.008175","0.009055","0.008592"
"28",1751,"27","0.008516","0.009244","0.008860"
"29",1751,"28","0.008977","0.009533","0.009239"
"30",1751,"29","0.009590","0.009883","0.009728"
"31",1751,"30","0.010573","0.010544","0.010560"
"32",1751,"31","0.011694","0.011391","0.011551"
"33",1751,"32","0.012615","0.012080","0.012362"
"34",1751,"33","0.013243","0.012474","0.012877"
"35",1751,"34","0.013412","0.012494","0.012971"
"36",1751,"35","0.012609","0.011815","0.012227"
"37",1751,"36","0.011485","0.010955","0.011231"
"38",1751,"37","0.010826","0.010521","0.010680"
"39",1751,"38","0.010646","0.010562","0.010606"
"40",1751,"39","0.010987","0.011123","0.011051"
"41",1751,"40","0.012344","0.012622","0.012473"
"42",1751,"41","0.014193","0.014649","0.014404"
"43",1751,"42","0.015663","0.016413","0.016012"
"44",1751,"43","0.016706","0.017884","0.017260"
"45",1751,"44","0.017227","0.019202","0.018164"
"46",1751,"45","0.016054","0.019381","0.017631"
"47",1751,"46","0.014112","0.018543","0.016193"
"48",1751,"47","0.012858","0.017946","0.015219"
"49",1751,"48","0.012243","0.017612","0.014700"
"50",1751,"49","0.012249","0.017671","0.014691"
"51",1751,"50","0.013801","0.019310","0.016263"
"52",1751,"51","0.016564","0.022299","0.019129"
"53",1751,"52","0.019331","0.025471","0.022064"
"54",1751,"53","0.021908","0.028557","0.024842"
"55",1751,"54","0.024118","0.031066","0.027161"
"56",1751,"55","0.024088","0.030671","0.026946"
"57",1751,"56","0.022892","0.028848","0.025451"
"58",1751,"57","0.022714","0.028405","0.025132"
"59",1751,"58","0.023171","0.029318","0.025735"
"60",1751,"59","0.024118","0.031610","0.027155"
"61",1751,"60","0.026959","0.036260","0.030656"
"62",1751,"61","0.030839","0.041454","0.035037"
"63",1751,"62","0.034601","0.045751","0.039025"
"64",1751,"63","0.038739","0.049388","0.043019"
"65",1751,"64","0.043066","0.051701","0.046620"
"66",1751,"65","0.045601","0.052251","0.048372"
"67",1751,"66","0.046595","0.052625","0.049087"
"68",1751,"67","0.048112","0.053984","0.050509"
"69",1751,"68","0.050455","0.056786","0.052994"
"70",1751,"69","0.053857","0.061702","0.056928"
"71",1751,"70","0.061241","0.070142","0.064687"
"72",1751,"71","0.072623","0.080625","0.075756"
"73",1751,"72","0.084802","0.091409","0.087422"
"74",1751,"73","0.097948","0.102861","0.099921"
"75",1751,"74","0.111584","0.114314","0.112696"
"76",1751,"75","0.115448","0.119204","0.116971"
"77",1751,"76","0.110234","0.118118","0.113354"
"78",1751,"77","0.106671","0.117652","0.110908"
"79",1751,"78","0.105101","0.118496","0.110131"
"80",1751,"79","0.109393","0.122111","0.114109"
"81",1751,"80","0.124528","0.134586","0.128260"
"82",1751,"81","0.145070","0.154148","0.148430"
"83",1751,"82","0.165252","0.174797","0.168771"
"84",1751,"83","0.183802","0.195466","0.188088"
"85",1751,"84","0.196774","0.213194","0.202788"
"86",1751,"85","0.199524","0.225474","0.208952"
"87",1751,"86","0.199498","0.235252","0.212423"
"88",1751,"87","0.200329","0.241707","0.215387"
"89",1751,"88","0.202300","0.248792","0.219296"
"90",1751,"89","0.208351","0.261923","0.227783"
"91",1751,"90","0.274338","0.298171","0.282925"
"92",1751,"91","0.294239","0.318449","0.302984"
"93",1751,"92","0.315758","0.339948","0.324533"
"94",1751,"93","0.339280","0.361591","0.347434"
"95",1751,"94","0.364173","0.381381","0.370546"
"96",1751,"95","0.390004","0.400472","0.393939"
"97",1751,"96","0.418875","0.422915","0.420415"
"98",1751,"97","0.452144","0.453301","0.452589"
"99",1751,"98","0.485479","0.483089","0.484551"
"100",1751,"99","0.524419","0.508250","0.518003"
