Year,Population,Mortality
1884,2146149.63,0.020863643486763783
1885,2180243.8,0.02198157356208971
1886,2208147.03,0.022098675083986597
1887,2238155.37,0.01889122055172604
1888,2277655.76,0.019698148996953782
1889,2313799.77,0.019563888392900998
1890,2347424.39,0.01958192166317655
1891,2379547.65,0.021048136996193373
1892,2407956.03,0.02378316461456732
1893,2421582.43,0.02095859145434913
1894,2435524.35,0.01932191949551233
1895,2464450.5,0.01784078841406634
1896,2498665.63,0.018681307511913867
1897,2529853.88,0.01770549389844207
1898,2566592.9,0.01757778635713907
1899,2609616.99,0.020227012945010753
1900,2634306.85,0.02183643919898701
1901,2655026.48,0.021014625700192642
1902,2677604.29,0.018933615294950846
1903,2693098.21,0.018500170748243897
1904,2716142.57,0.018297665465476655
1905,2751029.38,0.01904705964859961
1906,2772053.82,0.0181571971325867
1907,2802682.67,0.01876868430779215
1908,2837686.45,0.01936918600568079
1909,2881923.06,0.01737081722165407
1910,2913760.13,0.017423179795630604
1911,2942218.92,0.017445556742545183
1912,2979022.98,0.017233608130414624
1913,3014587.97,0.017201998523506346
1914,3035144.22,0.01657841892818523
1915,3068815.23,0.016981664890499126
1916,3095427.1,0.01767561173154102
1917,3113315.06,0.018866644788821982
1918,3133396.97,0.030458446012332104
1919,3114132.01,0.020536371127478314
1920,3116591.14,0.016705084064466025
1921,3145729.45,0.014913051078324614
1922,3191426.47,0.015326881575275647
1923,3225812.28,0.014651133605356604
1924,3256650.42,0.01632854535652003
1925,3284252.47,0.014337175138332162
1926,3319744.07,0.014238075590649373
1927,3352658.82,0.015372203375797124
1928,3377937.19,0.014307922056164697
1929,3409275.07,0.015893942125115766
1930,3432195.16,0.013948327593664574
1931,3459192.59,0.01412445996309214
1932,3486605.07,0.01334013301472082
1933,3513411.59,0.013654487509643013
1934,3534386.4899999998,0.013005140519114534
1935,3559703.78,0.012625493412345114
1936,3588015.0300000003,0.013799956142143027
1937,3610880.08,0.012959749328213636
1938,3638845.82,0.013041657770372365
1939,3670594.03,0.014724378428237678
1940,3697833.89,0.020046309800768256
1941,3692873.99,0.019823694179405237
1942,3704622.95,0.01534016771465231
1943,3705616.93,0.013349724953458694
1944,3729282.97,0.018236441977984307
1945,3733978.93,0.013430790041619222
1946,3775316.96,0.011882300151619587
1947,3829701.97,0.012279181206588774
1948,3882345.01,0.011560364745038465
1949,3935462.0,0.011956178594012596
1950,3986629.98,0.010656016762004583
1951,4029947.0,0.009967221001169493
1952,4065036.0,0.009503735962977941
1953,4116527.0,0.00963225524841693
1954,4163017.0,0.009028459648855626
1955,4211704.0,0.009314410435776114
1956,4259112.0,0.008987264824216879
1957,4305433.0,0.009375876712981016
1958,4343712.0,0.008858717141928377
1959,4376845.0,0.008758208324946393
1960,4413656.0,0.008923367053979739
1961,4446728.0,0.009032427791850548
1962,4476398.0,0.009505891217224206
1963,4508052.0,0.009212809716480645
1964,4540687.0,0.009264057467295148
1965,4558597.0,0.009678893409968024
1966,4570760.0,0.009431821835974762
1967,4593014.0,0.009431516248371985
1968,4621412.0,0.009657767675117475
1969,4634378.0,0.009824053092130164
1970,4614622.0,0.009459794302328555
1971,4598806.0,0.009852987037504953
1972,4626228.0,0.009379160756019807
1973,4653615.0,0.009197935678606847
1974,4678898.0,0.009416863073740869
1975,4702426.0,0.009191131613979678
1976,4720468.0,0.009361004056801146
1977,4730714.0,0.00917530686128986
1978,4746890.0,0.009068269229642987
1979,4758035.0,0.00905240724647885
1980,4771226.0,0.009172621940985398
1981,4787727.0,0.009138995973036891
1982,4812109.0,0.008876771228997516
1983,4841711.0,0.009240090167711374
1984,4869852.0,0.009124753437270783
1985,4893740.0,0.009741349091696739
1986,4910698.0,0.0094776759953473
1987,4925722.0,0.009614045198044064
1988,4938713.0,0.009818524857791899
1989,4954503.0,0.009796469141708059
1990,4974547.0,0.009953576948212571
1991,4998665.0,0.009747540492711555
1992,5029185.0,0.009802674501733381
1993,5055195.0,0.00999408828106532
1994,5078146.0,0.00934384605149202
1995,5098973.0,0.009553617088382307
1996,5117043.0,0.009513237427748799
1997,5132512.0,0.009466326946337388
1998,5147492.0,0.009474009120266724
1999,5159724.0,0.009460255790813617
2000,5171399.0,0.009446169195415013
2001,5181188.0,0.009252353713569167
2002,5194979.5,0.009413231610634844
2003,5206356.0,0.009290461879575657
2004,5219778.5,0.008993375212185727
2005,5236644.0,0.00902122772371007
2006,5255618.5,0.00900585240062611
2007,5276985.5,0.009173161270861934
2008,5300484.0,0.009123715649080348
2009,5326313.0,0.009245029547268439
2010,5351400.0,0.009380268681279665
2011,5375244.0,0.00927712168470864
2012,5401249.0,0.009441698465854841
2013,5426660.0,0.009353816001923835
2014,5451258.0,0.009438095735516462
2015,5471904.0,0.00946577564756253
2016,5487295.0,0.00970841282344033
2017,5503314.0,0.00962643775932102
2018,5513157.0,0.00977012607712786
2019,5517944.0,0.009651842763536563
2020,5525309.0,0.00991640076165876
