Year,Population,Mortality
1884,70626.43,0.019915693384615366
1885,71456.67,0.01856235159880806
1886,72239.87,0.01932617294909307
1887,72472.18,0.023794098243905458
1888,70753.56,0.018559792440973995
1889,70136.75,0.015300649020235467
1890,70562.69,0.028062976572463438
1891,70555.6,0.01752317619820397
1892,71517.31,0.01534210013212186
1893,72438.2,0.0155662999628649
1894,72887.51,0.024415520990221783
1895,73181.23,0.014895670729502633
1896,74467.61,0.014376491802274842
1897,75629.8,0.017634513023702295
1898,76578.36,0.021371931930900583
1899,77145.35,0.017537716043027868
1900,77949.88,0.019883110410689533
1901,78196.59,0.014727286022574643
1902,78626.79,0.015913019062968232
1903,79151.67,0.016646785432322526
1904,79587.01,0.015504382631914431
1905,80349.12,0.01788530899479671
1906,80988.92,0.014570969166893447
1907,82044.37,0.016943193976503203
1908,82904.11,0.0192355369810978
1909,83575.48,0.014907103172844476
1910,84560.25,0.015424792889803423
1911,85207.56,0.013416786314970175
1912,85649.69,0.01359886667015374
1913,86094.47,0.012232333280058521
1914,87114.21,0.016299672228101476
1915,88047.92,0.015594576011562795
1916,89021.6,0.014845668056965949
1917,89775.07,0.01220852878176536
1918,91360.13,0.01654135723602845
1919,91905.09,0.01273767597311531
1920,92886.21,0.014453287434701015
1921,94422.33,0.015678961787640697
1922,95129.74,0.013364794647499298
1923,96321.18,0.013273318494852327
1924,97649.96,0.014896500770814447
1925,98414.84,0.012406520824806503
1926,100047.76,0.011057440550892894
1927,101702.03,0.01245142508237053
1928,103338.44,0.010779940370011391
1929,104840.55,0.01169210560026631
1930,106394.2,0.011589763909686806
1931,108620.81,0.011685760679376263
1932,109825.27,0.010752820407361622
1933,111497.83,0.010308805649401427
1934,113323.83,0.01032509746564337
1935,114723.0,0.012164434669159629
1936,115850.19,0.010729063496313643
1937,116854.68,0.011270823227447973
1938,117665.02,0.010213206071609046
1939,118861.71,0.009707553906047623
1940,120256.55,0.009928370393629286
1941,121549.67,0.011044255616078595
1942,122389.61,0.01040116343756631
1943,124007.7,0.010107179152423599
1944,125999.54,0.00964121607729679
1945,127815.32,0.0090965723981288
1946,130375.91,0.0085105980452984
1947,132750.04,0.00865500201107284
1948,135918.78,0.00810728764700507
1949,138484.47,0.007944993675030855
1950,141038.72,0.007887974391571335
1951,144257.98,0.007870183842585345
1952,146534.43,0.007339200618516755
1953,148972.51,0.007445247033093555
1954,152507.53,0.006924358478758393
1955,156017.23,0.006979171783270346
1956,159430.72,0.007167876282187022
1957,162654.16,0.007046830308551593
1958,166768.21,0.006935439035173431
1959,170110.74,0.0072579322710606044
1960,173799.43,0.006678320627173519
1961,177239.0,0.006995575256405193
1962,180716.89,0.0067690065341429895
1963,184015.62,0.0071370404343392155
1964,187407.75,0.006988167334488568
1965,190685.66,0.006745587883430773
1966,193834.04,0.00712084802081203
1967,197122.48,0.006966614743229691
1968,200218.81,0.006894920074042993
1969,202594.62,0.007118532994558296
1970,203949.37,0.007091821334824422
1971,204849.67,0.007275781517099832
1972,207344.51,0.006890596264207814
1973,210877.25,0.006901890649750032
1974,213677.74,0.006919151009599784
1975,216663.05,0.0064187839334395045
1976,219262.09,0.006043812227822876
1977,221021.18,0.006412649875138664
1978,222536.27,0.006291676040584306
1979,224512.03,0.006539452598597946
1980,226934.74,0.006691839386556682
1981,229327.0,0.007184142089679803
1982,232177.0,0.006770174104239439
1983,235540.0,0.006984687276046531
1984,238420.0,0.006590634997064004
1985,240613.0,0.006832701100938021
1986,242208.89,0.00650868632988657
1987,244158.0,0.007014456409005644
1988,247555.45,0.007318699675284869
1989,251915.44,0.00676687566022154
1990,253783.34,0.006668033036092914
1991,255863.28,0.006966756127373963
1992,259718.65,0.0065762216130416514
1993,262383.39,0.006629286368813208
1994,265058.66,0.006423536017876195
1995,266974.31,0.007151847114128697
1996,267948.6,0.006973266903764379
1997,269868.63,0.006801006503052986
1998,272377.11,0.00662818298898171
1999,275709.87,0.006871890726980503
2000,279046.2,0.0064730926848314005
2001,283366.34,0.006002828301907699
2002,286579.47,0.006289745102780741
2003,288472.0,0.006284971158379323
2004,290567.0,0.006216404215034742
2005,293578.0,0.0061982848409621975
2006,299895.0,0.006243625849947481
2007,307658.0,0.006224808674729732
2008,315452.0,0.006240142519781139
2009,319378.0,0.0062211818812191195
2010,317629.0,0.006312916212090206
2011,311902.0,0.006298351276683061
2012,313251.0,0.006149261797695777
2013,315855.0,0.00674321457314274
2014,319742.0,0.006328632957884795
2015,323056.0,0.006686096239104056
2016,326062.0,0.00700715126641559
2017,332527.0,0.006643898115731955
2018,342195.0,0.006517226959131489
2019,349478.0,0.00643733370163501
2020,354052.0,0.006421979804915663
