Year,Population,Mortality
1884,1921689,0.016496805233833362
1885,1936434,0.016559753878521034
1886,1951482,0.016197314910924108
1887,1965164,0.016125233891420766
1888,1974298,0.01723041308404304
1889,1978643,0.017713456774668297
1890,1989471,0.01790992793008795
1891,2003963,0.017527480764864423
1892,2020607,0.01791129954216728
1893,2031109,0.01632685189716554
1894,2044131,0.016898319170346714
1895,2068742,0.015607423043569475
1896,2097101,0.01510953190571174
1897,2125696,0.01529631859118143
1898,2156849,0.015186978299825347
1899,2189970,0.01679028895738298
1900,2217324,0.01580650447656725
1901,2242881,0.014946190580329498
1902,2266256,0.01383619473792899
1903,2283847,0.014846799701994047
1904,2290792,0.014268905228410088
1905,2303118,0.014783801950659932
1906,2313059,0.013602015317810743
1907,2324287,0.014277529033204592
1908,2332662,0.014198728561617585
1909,2357751,0.013483800467903524
1910,2376408,0.013451180206429198
1911,2390482,0.013176298335231137
1912,2410751,0.013477503426525593
1913,2434975,0.013253019180073718
1914,2458517,0.013460838246796747
1915,2482948,0.013464561035108267
1916,2508994,0.013723145869619457
1917,2535063,0.013482023916170918
1918,2565796,0.017020124537180666
1919,2589359,0.01373527488656459
1920,2616013,0.012611827753914067
1921,2653291,0.011437831484371672
1922,2682581,0.012013557286434221
1923,2707210,0.011545789160057772
1924,2719084,0.011239893123198843
1925,2738637,0.011037611798131697
1926,2755364,0.010722362116584233
1927,2770820,0.011137582016154063
1928,2778798,0.010761283540581215
1929,2790695,0.011375841872365127
1930,2799511,0.010434516092989097
1931,2815359,0.010798737643760528
1932,2832556,0.010531027248534539
1933,2850674,0.010060372914265188
1934,2866536,0.009779980123745174
1935,2882805,0.010243426322279864
1936,2896915,0.010298512824849884
1937,2911832,0.010281277970707102
1938,2927717,0.009877906743718742
1939,2946176,0.010071514717722227
1940,2965212,0.010694262627090407
1941,2983626,0.010614495816164627
1942,2999035,0.010371304386244241
1943,3020533,0.010195169713093684
1944,3046412,0.010478075333539916
1945,3076368,0.009551314260842656
1946,3108414,0.00918928336508586
1947,3146396,0.00938911575752067
1948,3183585,0.008819863401793889
1949,3218400,0.008941860217499379
1950,3250001,0.00904076682745636
1951,3280531,0.008341061636058309
1952,3311832,0.008478420255918778
1953,3344505,0.008405810879337899
1954,3378173,0.008538013396590405
1955,3411265,0.008446894384341293
1956,3446585,0.008566856343598083
1957,3476313,0.008717612482535376
1958,3508404,0.00888001858936428
1959,3538274,0.008880051029682834
1960,3567983,0.00903215986090741
1961,3594832,0.009176047503193474
1962,3624950,0.009377975859804964
1963,3653093,0.010013746693555297
1964,3680279,0.009457231787318297
1965,3708835,0.009416582053394124
1966,3737935,0.009518878299649406
1967,3767964,0.009493998567661475
1968,3800441,0.009796964247833344
1969,3831825,0.010064016564169815
1970,3862849,0.009925943755761614
1971,3887847,0.009925927891452519
1972,3917548,0.00994822481026397
1973,3948105,0.010025278711432446
1974,3972865,0.009829933848494727
1975,3997428,0.009921482468977554
1976,4017024,0.009910913219089554
1977,4035112,0.009759562143256495
1978,4051111,0.00993365400059391
1979,4065992,0.01013623926116923
1980,4078773,0.010028891145449869
1981,4092215,0.0101391186215778
1982,4106929,0.00998251574595032
1983,4122369,0.010142546063440706
1984,4134215,0.01019973749115612
1985,4145693,0.01062148490662478
1986,4159008,0.010375945445404289
1987,4175349,0.01067831494684636
1988,4198177,0.010720579471518232
1989,4220566,0.010628001964428467
1990,4232983,0.010803732871594335
1991,4249679,0.010497326915750577
1992,4273482,0.010394356630260757
1993,4299004,0.010784404095925473
1994,4324635,0.010116705219284403
1995,4348229,0.010326516261218074
1996,4369740,0.009964010927881293
1997,4392452,0.010092098278592457
1998,4417411,0.009917341096628772
1999,4445184,0.010113949550794747
2000,4478330,0.009764611720440432
2001,4503286,0.009703408374684619
2002,4523949,0.009775192368658444
2003,4552124,0.009258298022417667
2004,4577393,0.008916232288553767
2005,4606328,0.008869619061430276
2006,4640192,0.008809909876574071
2007,4681127,0.008892924655323388
2008,4737173,0.008725204416009295
2009,4799253,0.008559674027187148
2010,4858231,0.008463916376763476
2011,4920325,0.008336070869505573
2012,4985952,0.008359591436299427
2013,5051412,0.008099946920583788
2014,5109189,0.007826665903140401
2015,5165895,0.00781574880209528
2016,5214053,0.007737252702264438
2017,5258350,0.007681155301187635
2018,5295642,0.007638244895330916
2019,5328218,0.007546650932262906
2020,5367565,0.007470365037218925
