"","Year","Age","Female","Male","Total"
"1",1876,"0","0.226663","0.280796","0.253961"
"2",1876,"1","0.038919","0.035824","0.037366"
"3",1876,"2","0.018009","0.019696","0.018858"
"4",1876,"3","0.012410","0.012623","0.012518"
"5",1876,"4","0.009166","0.009499","0.009334"
"6",1876,"5","0.007703","0.007430","0.007566"
"7",1876,"6","0.006236","0.006915","0.006573"
"8",1876,"7","0.004823","0.005493","0.005157"
"9",1876,"8","0.004085","0.004054","0.004070"
"10",1876,"9","0.004074","0.005155","0.004610"
"11",1876,"10","0.004490","0.004044","0.004269"
"12",1876,"11","0.003583","0.003734","0.003658"
"13",1876,"12","0.003675","0.003233","0.003457"
"14",1876,"13","0.003831","0.003156","0.003496"
"15",1876,"14","0.004724","0.003445","0.004090"
"16",1876,"15","0.005196","0.004148","0.004677"
"17",1876,"16","0.005181","0.004836","0.005011"
"18",1876,"17","0.007726","0.004559","0.006168"
"19",1876,"18","0.005490","0.007733","0.006589"
"20",1876,"19","0.006277","0.008925","0.007574"
"21",1876,"20","0.006461","0.007325","0.006885"
"22",1876,"21","0.006621","0.007644","0.007124"
"23",1876,"22","0.007593","0.007596","0.007594"
"24",1876,"23","0.008355","0.008633","0.008490"
"25",1876,"24","0.008539","0.009767","0.009136"
"26",1876,"25","0.008539","0.010282","0.009383"
"27",1876,"26","0.009195","0.009147","0.009172"
"28",1876,"27","0.009339","0.010627","0.009959"
"29",1876,"28","0.008627","0.009171","0.008888"
"30",1876,"29","0.008766","0.009209","0.008979"
"31",1876,"30","0.009094","0.010692","0.009863"
"32",1876,"31","0.009766","0.011877","0.010782"
"33",1876,"32","0.010879","0.010572","0.010731"
"34",1876,"33","0.008869","0.011401","0.010087"
"35",1876,"34","0.012028","0.010585","0.011334"
"36",1876,"35","0.012316","0.011794","0.012065"
"37",1876,"36","0.011083","0.013414","0.012205"
"38",1876,"37","0.011873","0.012421","0.012137"
"39",1876,"38","0.012211","0.014721","0.013422"
"40",1876,"39","0.012321","0.013688","0.012981"
"41",1876,"40","0.011042","0.013356","0.012162"
"42",1876,"41","0.011051","0.015599","0.013256"
"43",1876,"42","0.011865","0.015287","0.013526"
"44",1876,"43","0.012158","0.014825","0.013453"
"45",1876,"44","0.012365","0.018443","0.015311"
"46",1876,"45","0.013488","0.016520","0.014955"
"47",1876,"46","0.012791","0.018747","0.015669"
"48",1876,"47","0.013202","0.020571","0.016758"
"49",1876,"48","0.013523","0.020060","0.016674"
"50",1876,"49","0.014405","0.022935","0.018514"
"51",1876,"50","0.017265","0.024228","0.020617"
"52",1876,"51","0.016564","0.024617","0.020438"
"53",1876,"52","0.019194","0.026510","0.022712"
"54",1876,"53","0.020793","0.027085","0.023814"
"55",1876,"54","0.023460","0.027986","0.025629"
"56",1876,"55","0.025926","0.032525","0.029081"
"57",1876,"56","0.027374","0.036953","0.031943"
"58",1876,"57","0.026172","0.039617","0.032573"
"59",1876,"58","0.022571","0.028578","0.025430"
"60",1876,"59","0.034351","0.040266","0.037175"
"61",1876,"60","0.040606","0.040674","0.040639"
"62",1876,"61","0.039358","0.049616","0.044281"
"63",1876,"62","0.043568","0.050077","0.046700"
"64",1876,"63","0.047324","0.050635","0.048918"
"65",1876,"64","0.054357","0.059788","0.056969"
"66",1876,"65","0.051312","0.059570","0.055278"
"67",1876,"66","0.063835","0.063585","0.063715"
"68",1876,"67","0.068335","0.068919","0.068615"
"69",1876,"68","0.080059","0.075006","0.077637"
"70",1876,"69","0.078170","0.078823","0.078484"
"71",1876,"70","0.089486","0.092621","0.091002"
"72",1876,"71","0.095622","0.094639","0.095146"
"73",1876,"72","0.105889","0.118540","0.112025"
"74",1876,"73","0.116375","0.123844","0.120013"
"75",1876,"74","0.123783","0.141592","0.132472"
"76",1876,"75","0.131683","0.136349","0.133967"
"77",1876,"76","0.140351","0.141327","0.140829"
"78",1876,"77","0.145507","0.153748","0.149560"
"79",1876,"78","0.156056","0.159278","0.157643"
"80",1876,"79","0.155829","0.180914","0.168221"
"81",1876,"80","0.187838","0.208599","0.198208"
"82",1876,"81","0.206173","0.194378","0.200222"
"83",1876,"82","0.203580","0.228927","0.216257"
"84",1876,"83","0.248687","0.239561","0.244107"
"85",1876,"84","0.288460","0.248602","0.268240"
"86",1876,"85","0.259053","0.268781","0.263894"
"87",1876,"86","0.302899","0.331675","0.317234"
"88",1876,"87","0.279294","0.371182","0.325803"
"89",1876,"88","0.434473","0.395379","0.413262"
"90",1876,"89","0.396624","0.460238","0.430637"
"91",1876,"90","0.414669","0.505154","0.459449"
"92",1876,"91","0.308822","0.455235","0.380141"
"93",1876,"92","0.370809","0.335927","0.354096"
"94",1876,"93","0.372578","0.433644","0.397453"
"95",1876,"94","0.240795","0.273764","0.253899"
"96",1876,"95","0.428266","0.591716","0.496894"
"97",1876,"96","0.451722","1.061947","0.663554"
"98",1876,"97","0.351803","0.672646","0.418313"
"99",1876,"98","0.814664","1.617251","0.976139"
"100",1876,"99","0.000000","4.195804","0.610376"
"101",1876,"100","0.000000",".","0.000000"
