"","Year","Age","Female","Male","Total"
"1",1835,"0","0.186348","0.236826","0.212066"
"2",1835,"1","0.056113","0.061262","0.058712"
"3",1835,"2","0.041173","0.045729","0.043470"
"4",1835,"3","0.027644","0.028845","0.028249"
"5",1835,"4","0.018698","0.017906","0.018299"
"6",1835,"5","0.015570","0.015085","0.015326"
"7",1835,"6","0.013866","0.013928","0.013897"
"8",1835,"7","0.012245","0.012572","0.012410"
"9",1835,"8","0.010812","0.011096","0.010955"
"10",1835,"9","0.009709","0.009671","0.009690"
"11",1835,"10","0.008795","0.008330","0.008562"
"12",1835,"11","0.008079","0.007274","0.007677"
"13",1835,"12","0.007566","0.006519","0.007043"
"14",1835,"13","0.007105","0.006017","0.006561"
"15",1835,"14","0.006688","0.005779","0.006233"
"16",1835,"15","0.006268","0.005768","0.006019"
"17",1835,"16","0.005967","0.005853","0.005910"
"18",1835,"17","0.005865","0.006019","0.005941"
"19",1835,"18","0.005973","0.006326","0.006148"
"20",1835,"19","0.006375","0.006863","0.006617"
"21",1835,"20","0.007076","0.007624","0.007348"
"22",1835,"21","0.007747","0.008289","0.008016"
"23",1835,"22","0.008185","0.008662","0.008421"
"24",1835,"23","0.008466","0.008796","0.008629"
"25",1835,"24","0.008661","0.008760","0.008710"
"26",1835,"25","0.008982","0.008773","0.008879"
"27",1835,"26","0.009250","0.008804","0.009029"
"28",1835,"27","0.009243","0.008714","0.008981"
"29",1835,"28","0.009177","0.008693","0.008937"
"30",1835,"29","0.009092","0.008777","0.008935"
"31",1835,"30","0.008921","0.008803","0.008862"
"32",1835,"31","0.008920","0.008976","0.008948"
"33",1835,"32","0.009219","0.009461","0.009341"
"34",1835,"33","0.009668","0.010042","0.009856"
"35",1835,"34","0.010296","0.010763","0.010531"
"36",1835,"35","0.011070","0.011834","0.011450"
"37",1835,"36","0.011784","0.012871","0.012320"
"38",1835,"37","0.012305","0.013448","0.012870"
"39",1835,"38","0.012613","0.013814","0.013207"
"40",1835,"39","0.012778","0.014071","0.013418"
"41",1835,"40","0.012374","0.014070","0.013204"
"42",1835,"41","0.012000","0.014156","0.013046"
"43",1835,"42","0.012108","0.014603","0.013320"
"44",1835,"43","0.012302","0.015304","0.013764"
