"","Year","Age","Female","Male","Total"
"1",1816,"0","0.186986","0.222931","0.205344"
"2",1816,"1","0.046702","0.046670","0.046685"
"3",1816,"2","0.033928","0.034306","0.034120"
"4",1816,"3","0.022912","0.023155","0.023035"
"5",1816,"4","0.015995","0.016075","0.016035"
"6",1816,"5","0.013834","0.013635","0.013733"
"7",1816,"6","0.012102","0.011632","0.011861"
"8",1816,"7","0.010430","0.009908","0.010162"
"9",1816,"8","0.008907","0.008379","0.008636"
"10",1816,"9","0.007595","0.007105","0.007344"
"11",1816,"10","0.006286","0.006012","0.006147"
"12",1816,"11","0.005373","0.005206","0.005289"
"13",1816,"12","0.004907","0.004646","0.004776"
"14",1816,"13","0.004851","0.004427","0.004638"
"15",1816,"14","0.005206","0.004549","0.004877"
"16",1816,"15","0.005763","0.004965","0.005366"
"17",1816,"16","0.006306","0.005607","0.005962"
"18",1816,"17","0.006884","0.006451","0.006670"
"19",1816,"18","0.007392","0.007522","0.007456"
"20",1816,"19","0.007815","0.008842","0.008322"
"21",1816,"20","0.007640","0.010293","0.008908"
"22",1816,"21","0.007532","0.011572","0.009403"
"23",1816,"22","0.007909","0.012514","0.010040"
"24",1816,"23","0.008250","0.012917","0.010408"
"25",1816,"24","0.008551","0.012702","0.010468"
"26",1816,"25","0.008711","0.012094","0.010251"
"27",1816,"26","0.008691","0.011233","0.009835"
"28",1816,"27","0.008733","0.010448","0.009504"
"29",1816,"28","0.008743","0.009886","0.009257"
"30",1816,"29","0.008692","0.009528","0.009068"
"31",1816,"30","0.009147","0.009457","0.009290"
"32",1816,"31","0.009641","0.009422","0.009537"
"33",1816,"32","0.009824","0.009541","0.009690"
"34",1816,"33","0.010049","0.009683","0.009875"
"35",1816,"34","0.010309","0.009842","0.010087"
"36",1816,"35","0.010567","0.009945","0.010271"
"37",1816,"36","0.010940","0.010151","0.010564"
"38",1816,"37","0.011313","0.010377","0.010867"
"39",1816,"38","0.011754","0.010654","0.011229"
"40",1816,"39","0.012279","0.010992","0.011665"
"41",1816,"40","0.012341","0.011382","0.011893"
"42",1816,"41","0.012395","0.011905","0.012171"
"43",1816,"42","0.012885","0.012534","0.012725"
"44",1816,"43","0.013284","0.013245","0.013266"
"45",1816,"44","0.013622","0.014073","0.013828"
"46",1816,"45","0.014088","0.015035","0.014523"
"47",1816,"46","0.014483","0.015896","0.015134"
"48",1816,"47","0.014751","0.016632","0.015619"
"49",1816,"48","0.015180","0.017431","0.016219"
"50",1816,"49","0.015749","0.018275","0.016916"
"51",1816,"50","0.016950","0.019113","0.017967"
"52",1816,"51","0.018265","0.020009","0.019100"
"53",1816,"52","0.019048","0.020938","0.019953"
"54",1816,"53","0.019767","0.021805","0.020743"
"55",1816,"54","0.020444","0.022643","0.021497"
"56",1816,"55","0.021228","0.023281","0.022218"
"57",1816,"56","0.022713","0.024484","0.023574"
"58",1816,"57","0.024350","0.026085","0.025193"
"59",1816,"58","0.026721","0.028318","0.027496"
"60",1816,"59","0.030031","0.031381","0.030686"
"61",1816,"60","0.033563","0.034519","0.034027"
"62",1816,"61","0.037492","0.038015","0.037746"
"63",1816,"62","0.040655","0.040926","0.040787"
"64",1816,"63","0.043308","0.043424","0.043364"
"65",1816,"64","0.045284","0.045379","0.045330"
"66",1816,"65","0.045920","0.046341","0.046124"
"67",1816,"66","0.047952","0.048574","0.048253"
"68",1816,"67","0.051255","0.052012","0.051621"
"69",1816,"68","0.055996","0.056869","0.056418"
"70",1816,"69","0.062455","0.063401","0.062912"
"71",1816,"70","0.070105","0.070814","0.070448"
"72",1816,"71","0.078702","0.079130","0.078909"
"73",1816,"72","0.086809","0.087276","0.087036"
"74",1816,"73","0.094920","0.095552","0.095227"
"75",1816,"74","0.101529","0.102569","0.102034"
"76",1816,"75","0.106475","0.108725","0.107565"
"77",1816,"76","0.112087","0.115656","0.113811"
"78",1816,"77","0.120172","0.124745","0.122377"
"79",1816,"78","0.130860","0.136486","0.133566"
"80",1816,"79","0.132735","0.138582","0.135541"
"81",1816,"80","0.161117","0.165290","0.163132"
"82",1816,"81","0.179253","0.182733","0.180934"
"83",1816,"82","0.197379","0.199912","0.198604"
"84",1816,"83","0.213985","0.215589","0.214762"
"85",1816,"84","0.225575","0.226804","0.226170"
"86",1816,"85","0.227346","0.229218","0.228253"
"87",1816,"86","0.224141","0.227298","0.225668"
"88",1816,"87","0.219107","0.223900","0.221422"
"89",1816,"88","0.213778","0.220459","0.217001"
"90",1816,"89","0.212951","0.221824","0.217230"
"91",1816,"90","0.224285","0.235270","0.229588"
"92",1816,"91","0.239711","0.251406","0.245380"
"93",1816,"92","0.256769","0.268228","0.262353"
"94",1816,"93","0.277501","0.286521","0.281928"
"95",1816,"94","0.304993","0.305111","0.305052"
"96",1816,"95","0.340464","0.327172","0.333759"
"97",1816,"96","0.377362","0.353281","0.365147"
"98",1816,"97","0.410714","0.377493","0.393804"
"99",1816,"98","0.438730","0.407527","0.422934"
"100",1816,"99","0.462882","0.451876","0.457370"
"101",1816,"100","0.319487","0.387128","0.353619"
"102",1816,"101","0.316424","0.394589","0.355943"
"103",1816,"102","0.310800","0.399568","0.355795"
"104",1816,"103","0.302756","0.403888","0.354021"
"105",1816,"104","0.289991","0.402167","0.346958"
"106",1816,"105","0.280457","0.399847","0.341610"
"107",1816,"106","0.271730","0.404951","0.339970"
"108",1816,"107","0.254237","0.411449","0.333433"
"109",1816,"108","0.233036","0.404676","0.318548"
"110",1816,"109","0.133929","0.389819","0.268594"
"111",1816,"110+","0.000000","0.324181","0.142136"
"112",1817,"0","0.181727","0.217954","0.200266"
"113",1817,"1","0.054247","0.053905","0.054073"
"114",1817,"2","0.038904","0.038601","0.038750"
"115",1817,"3","0.027050","0.027090","0.027070"
"116",1817,"4","0.018839","0.018917","0.018878"
"117",1817,"5","0.015245","0.015382","0.015315"
"118",1817,"6","0.012863","0.012879","0.012871"
"119",1817,"7","0.010745","0.010688","0.010716"
"120",1817,"8","0.008928","0.008897","0.008912"
"121",1817,"9","0.007492","0.007446","0.007468"
"122",1817,"10","0.006471","0.006373","0.006421"
"123",1817,"11","0.005753","0.005692","0.005722"
"124",1817,"12","0.005331","0.005258","0.005295"
"125",1817,"13","0.005310","0.005087","0.005198"
"126",1817,"14","0.005650","0.005261","0.005455"
"127",1817,"15","0.006279","0.005733","0.006005"
"128",1817,"16","0.006740","0.006286","0.006514"
"129",1817,"17","0.007109","0.006908","0.007010"
"130",1817,"18","0.007610","0.007678","0.007644"
"131",1817,"19","0.008115","0.008618","0.008363"
"132",1817,"20","0.008605","0.009665","0.009128"
"133",1817,"21","0.008502","0.010502","0.009458"
"134",1817,"22","0.008391","0.011103","0.009646"
"135",1817,"23","0.008720","0.011395","0.009956"
"136",1817,"24","0.008882","0.011161","0.009934"
"137",1817,"25","0.008916","0.010488","0.009640"
"138",1817,"26","0.008810","0.009896","0.009304"
"139",1817,"27","0.008696","0.009451","0.009036"
"140",1817,"28","0.008725","0.009142","0.008912"
"141",1817,"29","0.008834","0.009127","0.008966"
"142",1817,"30","0.008964","0.009306","0.009118"
"143",1817,"31","0.009436","0.009375","0.009408"
"144",1817,"32","0.010029","0.009505","0.009781"
"145",1817,"33","0.010227","0.009712","0.009982"
"146",1817,"34","0.010418","0.009892","0.010168"
"147",1817,"35","0.010639","0.010084","0.010375"
"148",1817,"36","0.010941","0.010321","0.010646"
"149",1817,"37","0.011264","0.010576","0.010936"
"150",1817,"38","0.011647","0.010929","0.011304"
"151",1817,"39","0.012134","0.011388","0.011778"
"152",1817,"40","0.012728","0.011959","0.012361"
"153",1817,"41","0.012877","0.012640","0.012766"
"154",1817,"42","0.013033","0.013386","0.013194"
"155",1817,"43","0.013641","0.014102","0.013851"
"156",1817,"44","0.014108","0.014701","0.014379"
"157",1817,"45","0.014469","0.015227","0.014815"
"158",1817,"46","0.015070","0.015971","0.015483"
"159",1817,"47","0.015701","0.016843","0.016227"
"160",1817,"48","0.016210","0.017796","0.016941"
"161",1817,"49","0.016941","0.019084","0.017930"
"162",1817,"50","0.017833","0.020619","0.019119"
"163",1817,"51","0.019146","0.021935","0.020456"
"164",1817,"52","0.020387","0.023063","0.021666"
"165",1817,"53","0.020878","0.024036","0.022388"
"166",1817,"54","0.021088","0.024690","0.022811"
"167",1817,"55","0.021205","0.025205","0.023117"
"168",1817,"56","0.022325","0.026283","0.024232"
"169",1817,"57","0.024185","0.027886","0.025982"
"170",1817,"58","0.026479","0.030124","0.028247"
"171",1817,"59","0.029813","0.033230","0.031469"
"172",1817,"60","0.034052","0.037110","0.035534"
"173",1817,"61","0.038349","0.041062","0.039665"
"174",1817,"62","0.041798","0.044322","0.043024"
"175",1817,"63","0.044173","0.046853","0.045474"
"176",1817,"64","0.045668","0.048804","0.047191"
"177",1817,"65","0.046449","0.050327","0.048331"
"178",1817,"66","0.047793","0.052432","0.050041"
"179",1817,"67","0.050211","0.055483","0.052760"
"180",1817,"68","0.054218","0.059821","0.056924"
"181",1817,"69","0.060074","0.065711","0.062794"
"182",1817,"70","0.067780","0.073133","0.070362"
"183",1817,"71","0.075859","0.080646","0.078172"
"184",1817,"72","0.083584","0.087856","0.085654"
"185",1817,"73","0.090330","0.094663","0.092432"
"186",1817,"74","0.096368","0.101263","0.098744"
"187",1817,"75","0.102025","0.108151","0.104997"
"188",1817,"76","0.107781","0.115704","0.111612"
"189",1817,"77","0.113943","0.124366","0.118943"
"190",1817,"78","0.122934","0.134492","0.128458"
"191",1817,"79","0.135009","0.147163","0.140795"
"192",1817,"80","0.155858","0.163505","0.159540"
"193",1817,"81","0.174014","0.180040","0.176915"
"194",1817,"82","0.191868","0.196198","0.193956"
"195",1817,"83","0.207366","0.210375","0.208819"
"196",1817,"84","0.216556","0.219654","0.218055"
"197",1817,"85","0.215214","0.221096","0.218061"
"198",1817,"86","0.209049","0.219055","0.213884"
"199",1817,"87","0.201936","0.216069","0.208746"
"200",1817,"88","0.197655","0.214438","0.205719"
"201",1817,"89","0.202626","0.218591","0.210281"
"202",1817,"90","0.223760","0.233842","0.228592"
"203",1817,"91","0.250486","0.251616","0.251029"
"204",1817,"92","0.279020","0.269161","0.274249"
"205",1817,"93","0.308632","0.289174","0.299137"
"206",1817,"94","0.338934","0.314726","0.327000"
"207",1817,"95","0.370841","0.347859","0.359308"
"208",1817,"96","0.406963","0.391148","0.398897"
"209",1817,"97","0.447110","0.450635","0.448915"
"210",1817,"98","0.493899","0.517080","0.505775"
"211",1817,"99","0.574927","0.610657","0.592998"
"212",1817,"100","0.613147","0.502182","0.557550"
"213",1817,"101","0.671552","0.534706","0.601836"
"214",1817,"102","0.730142","0.568588","0.647525"
"215",1817,"103","0.792963","0.600892","0.694208"
"216",1817,"104","0.858326","0.636882","0.744246"
"217",1817,"105","0.916850","0.659466","0.783516"
"218",1817,"106","1.006740","0.684494","0.836765"
"219",1817,"107","1.122025","0.735471","0.916859"
"220",1817,"108","1.204833","0.803828","0.996408"
"221",1817,"109","1.236797","0.834276","1.030278"
"222",1817,"110+","1.767372","0.919556","1.325380"
"223",1818,"0","0.185714","0.216629","0.201523"
"224",1818,"1","0.061039","0.061260","0.061151"
"225",1818,"2","0.041661","0.041421","0.041538"
"226",1818,"3","0.028556","0.028248","0.028399"
"227",1818,"4","0.020295","0.020125","0.020209"
"228",1818,"5","0.016523","0.016260","0.016389"
"229",1818,"6","0.013993","0.013648","0.013818"
"230",1818,"7","0.011766","0.011254","0.011505"
"231",1818,"8","0.009821","0.009242","0.009524"
"232",1818,"9","0.008198","0.007680","0.007933"
"233",1818,"10","0.006964","0.006525","0.006739"
"234",1818,"11","0.006147","0.005736","0.005936"
"235",1818,"12","0.005667","0.005332","0.005497"
"236",1818,"13","0.005535","0.005205","0.005370"
"237",1818,"14","0.005877","0.005386","0.005630"
"238",1818,"15","0.006563","0.005885","0.006223"
"239",1818,"16","0.007248","0.006484","0.006865"
"240",1818,"17","0.007656","0.007099","0.007379"
"241",1818,"18","0.007990","0.007791","0.007892"
"242",1818,"19","0.008500","0.008655","0.008576"
"243",1818,"20","0.009013","0.009626","0.009315"
"244",1818,"21","0.009478","0.010399","0.009932"
"245",1818,"22","0.009271","0.010839","0.010020"
"246",1818,"23","0.009044","0.010983","0.009940"
"247",1818,"24","0.009272","0.010738","0.009949"
"248",1818,"25","0.009341","0.010031","0.009659"
"249",1818,"26","0.009436","0.009403","0.009421"
"250",1818,"27","0.009450","0.009071","0.009278"
"251",1818,"28","0.009459","0.008960","0.009235"
"252",1818,"29","0.009603","0.009026","0.009344"
"253",1818,"30","0.009803","0.009357","0.009602"
"254",1818,"31","0.009903","0.009603","0.009768"
"255",1818,"32","0.010375","0.009674","0.010051"
"256",1818,"33","0.010986","0.009800","0.010423"
"257",1818,"34","0.011133","0.009963","0.010577"
"258",1818,"35","0.011279","0.010098","0.010718"
"259",1818,"36","0.011490","0.010304","0.010926"
"260",1818,"37","0.011770","0.010557","0.011193"
"261",1818,"38","0.012071","0.010848","0.011488"
"262",1818,"39","0.012457","0.011285","0.011897"
"263",1818,"40","0.012940","0.011832","0.012411"
"264",1818,"41","0.013490","0.012431","0.012984"
"265",1818,"42","0.013542","0.013076","0.013324"
"266",1818,"43","0.013579","0.013705","0.013637"
"267",1818,"44","0.014064","0.014215","0.014133"
"268",1818,"45","0.014421","0.014585","0.014496"
"269",1818,"46","0.014828","0.015090","0.014948"
"270",1818,"47","0.015553","0.015917","0.015720"
"271",1818,"48","0.016329","0.016907","0.016595"
"272",1818,"49","0.016994","0.018004","0.017459"
"273",1818,"50","0.017850","0.019379","0.018555"
"274",1818,"51","0.018634","0.020642","0.019560"
"275",1818,"52","0.019834","0.021626","0.020675"
"276",1818,"53","0.021012","0.022464","0.021705"
"277",1818,"54","0.021468","0.023180","0.022286"
"278",1818,"55","0.021826","0.023741","0.022740"
"279",1818,"56","0.022661","0.024710","0.023639"
"280",1818,"57","0.024582","0.026294","0.025405"
"281",1818,"58","0.027146","0.028330","0.027720"
"282",1818,"59","0.030041","0.031001","0.030506"
"283",1818,"60","0.033662","0.034306","0.033974"
"284",1818,"61","0.037186","0.037592","0.037382"
"285",1818,"62","0.040546","0.040726","0.040633"
"286",1818,"63","0.043116","0.043209","0.043162"
"287",1818,"64","0.044870","0.045196","0.045028"
"288",1818,"65","0.046188","0.046930","0.046548"
"289",1818,"66","0.048146","0.049218","0.048666"
"290",1818,"67","0.050954","0.052254","0.051583"
"291",1818,"68","0.054858","0.056182","0.055497"
"292",1818,"69","0.060534","0.061400","0.060952"
"293",1818,"70","0.067868","0.067917","0.067892"
"294",1818,"71","0.075584","0.074838","0.075224"
"295",1818,"72","0.083177","0.081504","0.082369"
"296",1818,"73","0.090386","0.087995","0.089227"
"297",1818,"74","0.096296","0.094096","0.095228"
"298",1818,"75","0.101596","0.100274","0.100954"
