"","Year","Age","Female","Male","Total"
"1",1876,"0",33781,34056,67837
"2",1876,"1",32902,33277,66179
"3",1876,"2",32380,32888,65268
"4",1876,"3",32329,32851,65180
"5",1876,"4",31868,32327,64195
"6",1876,"5",29223,28638,57861
"7",1876,"6",29344,28996,58340
"8",1876,"7",28585,28401,56986
"9",1876,"8",28413,28041,56454
"10",1876,"9",28243,27671,55914
"11",1876,"10",28074,27485,55559
"12",1876,"11",27906,27397,55303
"13",1876,"12",27740,27266,55006
"14",1876,"13",27211,26818,54029
"15",1876,"14",26693,26198,52891
"16",1876,"15",26184,25620,51804
"17",1876,"16",25685,25079,50764
"18",1876,"17",25196,24307,49503
"19",1876,"18",24493,23580,48073
"20",1876,"19",23811,22874,46685
"21",1876,"20",22847,22189,45036
"22",1876,"21",22361,21525,43886
"23",1876,"22",21889,20880,42769
"24",1876,"23",21769,20623,42392
"25",1876,"24",21648,20369,42017
"26",1876,"25",21528,20118,41646
"27",1876,"26",21408,19872,41280
"28",1876,"27",21288,19629,40917
"29",1876,"28",21180,19560,40740
"30",1876,"29",21072,19491,40563
"31",1876,"30",20964,19422,40386
"32",1876,"31",20857,19353,40210
"33",1876,"32",20749,19284,40033
"34",1876,"33",20521,19043,39564
"35",1876,"34",20295,18804,39099
"36",1876,"35",20071,18568,38639
"37",1876,"36",19706,18334,38040
"38",1876,"37",19453,18101,37554
"39",1876,"38",18955,17693,36648
"40",1876,"39",18470,17295,35765
"41",1876,"40",17997,16905,34902
"42",1876,"41",17537,16525,34062
"43",1876,"42",17088,16153,33241
"44",1876,"43",16883,15916,32799
"45",1876,"44",16680,15682,32362
"46",1876,"45",16480,15452,31932
"47",1876,"46",16283,15225,31508
"48",1876,"47",16088,15002,31090
"49",1876,"48",15672,14600,30272
"50",1876,"49",15267,14209,29476
"51",1876,"50",14873,13829,28702
"52",1876,"51",14489,13460,27949
"53",1876,"52",14116,13100,27216
"54",1876,"53",13575,12545,26120
"55",1876,"54",13056,12015,25071
"56",1876,"55",12558,11508,24066
"57",1876,"56",12080,11023,23103
"58",1876,"57",11621,10560,22181
"59",1876,"58",11128,10163,21291
"60",1876,"59",10658,9783,20441
"61",1876,"60",10211,9418,19629
"62",1876,"61",9784,9069,18853
"63",1876,"62",9376,8734,18110
"64",1876,"63",8913,8280,17193
"65",1876,"64",8477,7854,16331
"66",1876,"65",8066,7452,15518
"67",1876,"66",7680,7075,14755
"68",1876,"67",7316,6719,14035
"69",1876,"68",6774,6259,13033
"70",1876,"69",6278,5835,12113
"71",1876,"70",5590,5258,10848
"72",1876,"71",5101,4815,9916
"73",1876,"72",4657,4409,9066
"74",1876,"73",4075,3879,7954
"75",1876,"74",3566,3412,6978
"76",1876,"75",3122,3003,6125
"77",1876,"76",2734,2643,5377
"78",1876,"77",2395,2327,4722
"79",1876,"78",1997,1948,3945
"80",1876,"79",1666,1631,3297
"81",1876,"80",1195.47,1190.95,2386.42
"82",1876,"81",978.68,996.54,1975.22
"83",1876,"82",846.44,841.64,1688.08
"84",1876,"83",680.99,697.85,1378.84
"85",1876,"84",535.95,521.51,1057.46
