"","Year","Age","Female","Male","Total"
"1","1835","0",17343.98,18133.3,35477.28
"2","1835","1",15132.54,15440.97,30573.51
"3","1835","2",13796.77,14039.01,27835.78
"4","1835","3",13169.92,13373.59,26543.51
"5","1835","4",13103.71,13310.43,26414.14
"6","1835","5",13063.83,13305.43,26369.26
"7","1835","6",13108.92,13350.03,26458.95
"8","1835","7",13394.38,13639.84,27034.22
"9","1835","8",13635.71,13888.44,27524.15
"10","1835","9",13770.16,14005.28,27775.44
"11","1835","10",14100.98,14052.11,28153.09
"12","1835","11",13911.5,13885.29,27796.79
"13","1835","12",13683.62,13683.15,27366.77
"14","1835","13",13414.28,13437.75,26852.03
"15","1835","14",13127.13,13148.63,26275.76
"16","1835","15",13078.8,12893.93,25972.73
"17","1835","16",12842.08,12664.67,25506.75
"18","1835","17",12588.49,12409.23,24997.72
"19","1835","18",12154.32,11966.78,24121.1
"20","1835","19",11461.37,11266.06,22727.43
"21","1835","20",10661.2,10497.9,21159.1
"22","1835","21",10265.83,10075.37,20341.2
"23","1835","22",10061.67,9844.51,19906.18
"24","1835","23",9940.01,9700.85,19640.86
"25","1835","24",9796.15,9550.23,19346.38
"26","1835","25",9285.91,9093.14,18379.05
"27","1835","26",9223.32,9036.27,18259.59
"28","1835","27",9222.1,9047.65,18269.75
"29","1835","28",9222.33,9065.97,18288.3
"30","1835","29",9204.21,9083.48,18287.69
"31","1835","30",9368.74,9414.93,18783.67
"32","1835","31",9177.1,9246.65,18423.75
"33","1835","32",8957.91,9049.78,18007.69
"34","1835","33",8723.69,8837.14,17560.83
"35","1835","34",8440.39,8540.33,16980.72
"36","1835","35",8153.61,7926.16,16079.77
"37","1835","36",7864.46,7667.67,15532.13
"38","1835","37",7663.1,7494.43,15157.53
"39","1835","38",7451.88,7312.62,14764.5
"40","1835","39",7223.35,7085.1,14308.45
"41","1835","40",7494.31,7046.67,14540.98
"42","1835","41",7235.94,6834.36,14070.3
"43","1835","42",6975.15,6616.14,13591.29
"44","1835","43",6678.71,6360.31,13039.02
"45","1835","44",6332.04,6041.58,12373.62
"46","1835","45",5928.98,5571.96,11500.94
"47","1835","46",5739.48,5392.77,11132.25
"48","1835","47",5604.38,5256.74,10861.12
"49","1835","48",5508.27,5153.2,10661.47
"50","1835","49",5469.84,5098.65,10568.49
"51","1835","50",5547.85,5120.22,10668.07
"52","1835","51",5471.4,5048.89,10520.29
"53","1835","52",5386.34,4975.67,10362.01
"54","1835","53",5293.34,4899.25,10192.59
