"","Year","Age","Female","Male","Total"
"1",1878,"0",31862.3,32787.21,64649.51
"2",1878,"1",28399.2,28577.89,56977.09
"3",1878,"2",26595.99,26379.95,52975.94
"4",1878,"3",26424.07,26356.22,52780.29
"5",1878,"4",26102.44,26651.73,52754.17
"6",1878,"5",23447.19,23657.37,47104.56
"7",1878,"6",23738.18,23765.53,47503.71
"8",1878,"7",22734.68,22885.06,45619.74
"9",1878,"8",20216.61,20355.23,40571.84
"10",1878,"9",16479.34,17011.82,33491.16
"11",1878,"10",16361.19,16405.88,32767.07
"12",1878,"11",16872.28,16969.06,33841.34
"13",1878,"12",18198.72,18237.31,36436.03
"14",1878,"13",20632.4,20527.18,41159.58
"15",1878,"14",20812.41,20952.57,41764.98
"16",1878,"15",18981.76,18825.63,37807.39
"17",1878,"16",19070.76,18912.15,37982.91
"18",1878,"17",18719.41,18688.56,37407.97
"19",1878,"18",17773.69,18090.62,35864.31
"20",1878,"19",18593.37,18975.03,37568.4
"21",1878,"20",17154.98,17225.24,34380.22
"22",1878,"21",16690.27,16743.42,33433.69
"23",1878,"22",16956.55,17079.02,34035.57
"24",1878,"23",17215.51,16986.32,34201.83
"25",1878,"24",16982.69,16883,33865.69
"26",1878,"25",16592.98,16385.38,32978.36
"27",1878,"26",16670.33,15850.2,32520.53
"28",1878,"27",15986.64,15275.13,31261.77
"29",1878,"28",16019.53,15317.66,31337.19
"30",1878,"29",15942.52,15179.63,31122.15
"31",1878,"30",14901.58,14301.84,29203.42
"32",1878,"31",14423.63,13824.56,28248.19
"33",1878,"32",14852.97,14290.28,29143.25
"34",1878,"33",14519.28,13844.59,28363.87
"35",1878,"34",15017.55,14187.74,29205.29
"36",1878,"35",14719.77,14075.54,28795.31
"37",1878,"36",13708.97,12973.66,26682.63
"38",1878,"37",13139.32,12406.3,25545.62
"39",1878,"38",12783.25,12256.23,25039.48
"40",1878,"39",12497.69,11954.27,24451.96
"41",1878,"40",11628.72,11011.49,22640.21
"42",1878,"41",11160.12,10549.62,21709.74
"43",1878,"42",10900.41,10348.33,21248.74
"44",1878,"43",11129.63,10349.81,21479.44
"45",1878,"44",9867.12,9237.75,19104.87
"46",1878,"45",9955.95,9192.11,19148.06
"47",1878,"46",9776.1,8916.61,18692.71
"48",1878,"47",9962.39,9138.73,19101.12
