"","Year","Age","Female","Male","Total"
"1",1841,"0",245723.4,249049.2,494772.6
"2",1841,"1",218238.01,215735.77,433973.78
"3",1841,"2",204225.44,201294.24,405519.68
"4",1841,"3",194501.68,191573.44,386075.12
"5",1841,"4",194144.7,192728.65,386873.35
"6",1841,"5",197696.62,198169.31,395865.93
"7",1841,"6",192650.24,192919.23,385569.47
"8",1841,"7",188525.43,188580.09,377105.52
"9",1841,"8",185501.68,185356.54,370858.22
"10",1841,"9",180829.64,182887.41,363717.05
"11",1841,"10",176006.6,180686.44,356693.04
"12",1841,"11",173579.13,178090.45,351669.58
"13",1841,"12",170949.58,175317.97,346267.55
"14",1841,"13",167725.91,171952.86,339678.77
"15",1841,"14",166765.23,166768.61,333533.84
"16",1841,"15",166534.18,161064.8,327598.98
"17",1841,"16",163047.2,157624.31,320671.51
"18",1841,"17",160606.53,155198.29,315804.82
"19",1841,"18",158446.02,153029.75,311475.77
"20",1841,"19",163747.5,151667.21,315414.71
"21",1841,"20",170674.53,150033.69,320708.22
"22",1841,"21",167247.72,146876.83,314124.55
"23",1841,"22",164046.9,143920.17,307967.07
"24",1841,"23",159555.4,139836.27,299391.67
"25",1841,"24",150308.08,133763.58,284071.66
"26",1841,"25",139951.29,127448.36,267399.65
"27",1841,"26",135772.32,123632.75,259405.07
"28",1841,"27",132457.03,120660.75,253117.78
"29",1841,"28",129842.82,118375.29,248218.11
"30",1841,"29",127715.4,117756.67,245472.07
"31",1841,"30",125631.79,117570.3,243202.09
"32",1841,"31",122914.57,115210.59,238125.16
"33",1841,"32",119625.77,112321.7,231947.47
"34",1841,"33",115575.29,108718.89,224294.18
"35",1841,"34",105862.29,100588.84,206451.13
"36",1841,"35",94797.16,91423.03,186220.19
"37",1841,"36",91433.17,88376.96,179810.13
"38",1841,"37",88972.94,86196.63,175169.57
"39",1841,"38",87179.55,84652.6,171832.15
"40",1841,"39",90257.73,87254.52,177512.25
"41",1841,"40",94719.08,90992.35,185711.43
"42",1841,"41",92695.85,89223.36,181919.21
"43",1841,"42",90151.88,86933.48,177085.36
"44",1841,"43",86540.09,83599.3,170139.39
"45",1841,"44",78396.33,75722.47,154118.8
"46",1841,"45",69136.85,66675.94,135812.79
"47",1841,"46",65777.5,63502.89,129280.39
"48",1841,"47",63953,61758.27,125711.27
"49",1841,"48",62694.31,60526.5,123220.81
"50",1841,"49",64960.68,62041.7,127002.38
"51",1841,"50",68482.05,64481.62,132963.67
"52",1841,"51",67366.26,63352.47,130718.73
"53",1841,"52",65450.69,61472.29,126922.98
"54",1841,"53",63056.48,59144.8,122201.28
"55",1841,"54",54332.23,51023.62,105355.85
"56",1841,"55",43841.59,41257.9,85099.49
"57",1841,"56",41783.77,39243.22,81026.99
"58",1841,"57",40576.44,38020.79,78597.23
"59",1841,"58",39491.47,36908.47,76399.94
"60",1841,"59",43505.11,40178.14,83683.25
"61",1841,"60",49090.95,44778.26,93869.21
"62",1841,"61",47708.59,43374.86,91083.45
"63",1841,"62",45986.75,41653.72,87640.47
"64",1841,"63",44155.69,39825.76,83981.45
"65",1841,"64",38154.85,34109.4,72264.25
"66",1841,"65",30974.43,27293.54,58267.97
"67",1841,"66",29443.1,25783.81,55226.91
"68",1841,"67",28116.18,24460.05,52576.23
"69",1841,"68",26774.48,23125.68,49900.16
"70",1841,"69",26860.91,23370.76,50231.67
"71",1841,"70",27318.13,24012.62,51330.75
"72",1841,"71",25713.76,22399.29,48113.05
"73",1841,"72",24077.76,20773.78,44851.54
"74",1841,"73",22489.16,19205.57,41694.73
"75",1841,"74",19319.62,16645.12,35964.74
"76",1841,"75",15773.93,13874.94,29648.87
"77",1841,"76",14521.67,12617.89,27139.56
"78",1841,"77",13212.6,11323.73,24536.33
"79",1841,"78",11912.85,10058.43,21971.28
"80",1841,"79",12837.13,10380.31,23217.44
"81",1841,"80",11367.65,9056.2,20423.85
"82",1841,"81",9806.54,7745.7,17552.24
"83",1841,"82",8441.4,6596.43,15037.83
"84",1841,"83",7208.35,5490.81,12699.16
"85",1841,"84",6017.31,4487.09,10504.4
"86",1841,"85",4851.22,3592.26,8443.48
"87",1841,"86",4110.38,2973.21,7083.59
"88",1841,"87",3371.09,2327.57,5698.66
"89",1841,"88",2709.05,1820.78,4529.83
"90",1841,"89",2147.27,1400.86,3548.13
"91",1841,"90",1677.5,1059.76,2737.26
"92",1841,"91",1290.4,787.12,2077.52
"93",1841,"92",977.58,574.1,1551.68
"94",1841,"93",728.33,410.68,1139.01
"95",1841,"94",533.38,287.92,821.3
"96",1841,"95",383.71,197.68,581.39
"97",1841,"96",271.2,133.06,404.26
"98",1841,"97",187.87,87.45,275.32
"99",1841,"98",127.61,56.12,183.73
"100",1841,"99",84.82,35.35,120.17
"101",1841,"100",55.19,21.55,76.74
"102",1841,"101",35.07,12.67,47.74
"103",1841,"102",22.1,7.19,29.29
"104",1841,"103",12.97,3.98,16.95
"105",1841,"104",7.69,1.53,9.22
"106",1841,"105",4.23,0.69,4.92
"107",1841,"106",2.08,0,2.08
"108",1841,"107",0.96,0,0.96
"109",1841,"108",0,0,0
"110",1841,"109",0,0,0
"111",1841,"110+",0,0,0
"112",1842,"0",232554.89,237296.59,469851.48
"113",1842,"1",227376.25,226932.67,454308.92
"114",1842,"2",208753.83,205951.61,414705.44
"115",1842,"3",198118.87,195112.62,393231.49
"116",1842,"4",190291.11,187253.04,377544.15
"117",1842,"5",191049.28,189553.64,380602.92
"118",1842,"6",195282.35,195697.92,390980.27
"119",1842,"7",190779.26,190978.97,381758.23
"120",1842,"8",187070.25,187053.98,374124.23
"121",1842,"9",184334.83,184127.58,368462.41
"122",1842,"10",179845.41,181856.35,361701.76
"123",1842,"11",175088.07,179750.45,354838.52
"124",1842,"12",172691.21,177214.63,349905.84
"125",1842,"13",170047.73,174460.87,344508.6
"126",1842,"14",166765.56,171073.01,337838.57
"127",1842,"15",165706.41,165837.21,331543.62
"128",1842,"16",165364.69,160047.49,325412.18
"129",1842,"17",161780.72,156531.71,318312.43
"130",1842,"18",159262.82,154037.15,313299.97
"131",1842,"19",157044.83,151806.84,308851.67
"132",1842,"20",162297.25,150362.91,312660.16
"133",1842,"21",169212.83,148714.83,317927.66
"134",1842,"22",165777.13,145535.15,311312.28
"135",1842,"23",162579.88,142574.78,305154.66
"136",1842,"24",158104.44,138506.26,296610.7
"137",1842,"25",148882.34,132460.23,281342.57
"138",1842,"26",138560.35,126190.99,264751.34
"139",1842,"27",134413.12,122413.02,256826.14
"140",1842,"28",131127.45,119474.48,250601.93
"141",1842,"29",128540.72,117218.28,245759
"142",1842,"30",126438.02,116630.33,243068.35
"143",1842,"31",124378.28,116459.13,240837.41
"144",1842,"32",121682.16,114116.13,235798.29
"145",1842,"33",118412.32,111239.76,229652.08
"146",1842,"34",114378.66,107645.26,222023.92
"147",1842,"35",104684.21,99529.91,204214.12
"148",1842,"36",93629.38,90355.96,183985.34
"149",1842,"37",90279.47,87311.3,177590.77
"150",1842,"38",87833.64,85131.95,172965.59
"151",1842,"39",86054.95,83588.48,169643.43
"152",1842,"40",89147.94,86196.06,175344
"153",1842,"41",93624.86,89928.06,183552.92
"154",1842,"42",91617.28,88158.35,179775.63
"155",1842,"43",89089.29,85867.32,174956.61
"156",1842,"44",85493.78,82531.56,168025.34
"157",1842,"45",77366.4,74655.98,152022.38
"158",1842,"46",68121.45,65603.25,133724.7
"159",1842,"47",64773.38,62426.11,127199.49
"160",1842,"48",62956.49,60676.16,123632.65
"161",1842,"49",61701.72,59437.79,121139.51
"162",1842,"50",63969.62,60944.82,124914.44
"163",1842,"51",67486.27,63375.96,130862.23
"164",1842,"52",66363.36,62236.45,128599.81
"165",1842,"53",64436.98,60344.66,124781.64
"166",1842,"54",62028.3,58004.3,120032.6
"167",1842,"55",53286.71,49868.63,103155.34
"168",1842,"56",42774.22,40087.75,82861.97
"169",1842,"57",40692.71,38056.09,78748.8
"170",1842,"58",39459.26,36815.21,76274.47
"171",1842,"59",38345.73,35682.95,74028.68
"172",1842,"60",42333.5,38933.08,81266.58
"173",1842,"61",47880.91,43508.44,91389.35
"174",1842,"62",46462.69,42080.65,88543.34
"175",1842,"63",44702.53,40333.63,85036.16
"176",1842,"64",42830.72,38478.32,81309.04
"177",1842,"65",36792.97,32736.64,69529.61
"178",1842,"66",29565.36,25890.72,55456.08
"179",1842,"67",27996.34,24357.66,52354
"180",1842,"68",26636.32,23014.81,49651.13
"181",1842,"69",25266.09,21665.59,46931.68
"182",1842,"70",25332.6,21902.86,47235.46
"183",1842,"71",25766.5,22535.56,48302.06
"184",1842,"72",24147.35,20920.07,45067.42
"185",1842,"73",22501.15,19296.66,41797.81
"186",1842,"74",20906.94,17734.78,38641.72
"187",1842,"75",17741.49,15188.95,32930.44
"188",1842,"76",14198.56,12432.91,26631.47
"189",1842,"77",12964.45,11202.76,24167.21
"190",1842,"78",11684.91,9945.08,21629.99
"191",1842,"79",10426.11,8725.81,19151.92
"192",1842,"80",11402.87,9102.42,20505.29
"193",1842,"81",9996.98,7844.4,17841.38
"194",1842,"82",8511,6608.65,15119.65
"195",1842,"83",7232.38,5543.68,12776.06
"196",1842,"84",6097.26,4531.94,10629.2
"197",1842,"85",4986.56,3634.06,8620.62
"198",1842,"86",4005.93,2910.44,6916.37
"199",1842,"87",3344.96,2370.96,5715.92
"200",1842,"88",2701.9,1825.35,4527.25
"201",1842,"89",2137.15,1403.14,3540.29
"202",1842,"90",1666.44,1059.85,2726.29
"203",1842,"91",1280.11,786.59,2066.7
"204",1842,"92",967.77,572.59,1540.36
"205",1842,"93",720.46,409.04,1129.5
"206",1842,"94",527.31,286.34,813.65
"207",1842,"95",379.32,196.28,575.6
"208",1842,"96",268.03,131.62,399.65
"209",1842,"97",186.15,86.52,272.67
"210",1842,"98",126.67,55.41,182.08
"211",1842,"99",84.53,34.57,119.1
"212",1842,"100",55.16,21.2,76.36
"213",1842,"101",35.23,12.48,47.71
"214",1842,"102",21.94,6.99,28.93
"215",1842,"103",13.66,3.71,17.37
"216",1842,"104",7.66,1.91,9.57
"217",1842,"105",4.43,0.32,4.75
"218",1842,"106",2.28,0,2.28
"219",1842,"107",0.93,0,0.93
"220",1842,"108",0.31,0,0.31
"221",1842,"109",0,0,0
"222",1842,"110+",0,0,0
"223",1843,"0",230656.72,237559.69,468216.41
"224",1843,"1",215074.77,215864.23,430939
"225",1843,"2",217811.61,217478.58,435290.19
"226",1843,"3",203314.71,201141.07,404455.78
"227",1843,"4",194825.14,192498.3,387323.44
"228",1843,"5",188126.48,185765.22,373891.7
"229",1843,"6",189050.25,187894.39,376944.64
"230",1843,"7",193232.69,193318.68,386551.37
"231",1843,"8",189161.25,189011.46,378172.71
"232",1843,"9",185808.2,185442.29,371250.49
"233",1843,"10",183262.15,182719.76,365981.91
"234",1843,"11",179418.78,180504.18,359922.96
"235",1843,"12",176110.27,178455,354565.27
"236",1843,"13",173651.03,175930.64,349581.67
"237",1843,"14",170865.07,173117.46,343982.53
"238",1843,"15",167371.47,169623.75,336995.22
"239",1843,"16",165781.98,164366.52,330148.5
"240",1843,"17",164972.19,158693.63,323665.82
"241",1843,"18",161399.4,155219.17,316618.57
"242",1843,"19",158856.54,152710.91,311567.45
"243",1843,"20",156504.54,150336.39,306840.93
"244",1843,"21",160520.99,148540.68,309061.67
"245",1843,"22",165860.63,146654.61,312515.24
"246",1843,"23",162509.86,143531.73,306041.59
"247",1843,"24",159253.18,140505.2,299758.38
"248",1843,"25",154768.35,136415.91,291184.26
"249",1843,"26",145996.19,130584.64,276580.83
"250",1843,"27",136153.07,124586.19,260739.26
"251",1843,"28",132117.09,120912.52,253029.61
"252",1843,"29",128931.24,118066.82,246998.06
"253",1843,"30",126409.45,115874.01,242283.46
"254",1843,"31",124358.72,115192.2,239550.92
"255",1843,"32",122363,114895.76,237258.76
"256",1843,"33",119652.92,112527.81,232180.73
"257",1843,"34",116358.95,109612.22,225971.17
"258",1843,"35",112298.11,105976.78,218274.89
"259",1843,"36",103127.98,98251.23,201379.21
"260",1843,"37",92756.88,89626.98,182383.86
"261",1843,"38",89485.07,86641.75,176126.82
"262",1843,"39",87101.02,84505.84,171606.86
"263",1843,"40",85363.12,82990.35,168353.47
"264",1843,"41",88031.45,85194.22,173225.67
"265",1843,"42",92042.39,88448.1,180490.49
"266",1843,"43",90020.16,86644.34,176664.5
"267",1843,"44",87444.35,84287.95,171732.3
"268",1843,"45",83734.48,80827.51,164561.99
"269",1843,"46",75818.4,73131.52,148949.92
"270",1843,"47",67057.75,64486.56,131544.31
"271",1843,"48",63862.58,61443.78,125306.36
"272",1843,"49",62086.77,59724.15,121810.92
"273",1843,"50",60900.57,58542.58,119443.15
"274",1843,"51",63057.54,59937.54,122995.08
"275",1843,"52",66460.76,62148.43,128609.19
"276",1843,"53",65235.41,60923.19,126158.6
"277",1843,"54",63256.89,58995.82,122252.71
"278",1843,"55",60716.51,56551.77,117268.28
"279",1843,"56",52381.2,48781.05,101162.25
"280",1843,"57",42617.28,39616.59,82233.87
"281",1843,"58",40556.01,37625.06,78181.07
"282",1843,"59",39260,36346.56,75606.56
"283",1843,"60",38108.66,35194.84,73303.5
"284",1843,"61",41561.85,37996.42,79558.27
"285",1843,"62",46409.11,41965.58,88374.69
"286",1843,"63",44903.05,40481.68,85384.73
"287",1843,"64",43082.95,38704.4,81787.35
"288",1843,"65",41132.05,36800.75,77932.8
"289",1843,"66",35418.93,31376.56,66795.49
"290",1843,"67",28712.52,24989.26,53701.78
"291",1843,"68",27084.79,23423.38,50508.17
"292",1843,"69",25648.07,22030.37,47678.44
"293",1843,"70",24214.63,20641.19,44855.82
"294",1843,"71",24069.22,20664.78,44734
"295",1843,"72",24268.79,21038.12,45306.91
"296",1843,"73",22615.23,19419.49,42034.72
"297",1843,"74",20949.49,17803.24,38752.73
"298",1843,"75",19357.42,16262.87,35620.29
"299",1843,"76",16388.3,13859.83,30248.13
"300",1843,"77",13104.1,11273.81,24377.91
"301",1843,"78",11841.23,10041.37,21882.6
"302",1843,"79",10555.03,8800.61,19355.64
"303",1843,"80",11577.28,9179.83,20757.11
"304",1843,"81",10050.97,7852.75,17903.72
"305",1843,"82",8723.13,6673.49,15396.62
"306",1843,"83",7324.63,5526.16,12850.79
"307",1843,"84",6142.92,4559.28,10702.2
"308",1843,"85",5079.34,3657.97,8737.31
"309",1843,"86",4132.46,2937.38,7069.84
"310",1843,"87",3269.99,2317.48,5587.47
"311",1843,"88",2686.56,1858.92,4545.48
"312",1843,"89",2132.98,1408.53,3541.51
"313",1843,"90",1656.35,1065.28,2721.63
"314",1843,"91",1266.48,791.37,2057.85
"315",1843,"92",952.82,577.58,1530.4
"316",1843,"93",704.49,413.31,1117.8
"317",1843,"94",512.39,290.29,802.68
"318",1843,"95",365.86,199.77,565.63
"319",1843,"96",256.4,134.61,391.01
"320",1843,"97",176.23,88.71,264.94
"321",1843,"98",118.95,57.36,176.31
"322",1843,"99",78.47,36.07,114.54
"323",1843,"100",50.67,22.05,72.72
"324",1843,"101",31.87,13.29,45.16
"325",1843,"102",19.55,7.61,27.16
"326",1843,"103",11.61,4.06,15.67
"327",1843,"104",7,1.98,8.98
"328",1843,"105",3.46,0.92,4.38
"329",1843,"106",1.83,0,1.83
"330",1843,"107",0.71,0,0.71
"331",1843,"108",0,0,0
"332",1843,"109",0,0,0
"333",1843,"110+",0,0,0
"334",1844,"0",234815.01,242595.64,477410.65
"335",1844,"1",214180.19,216848.13,431028.32
"336",1844,"2",207727.61,208470.96,416198.57
"337",1844,"3",211975.92,212204.2,424180.12
"338",1844,"4",199938.58,198517.71,398456.29
"339",1844,"5",192755.09,191090.13,383845.22
"340",1844,"6",186787.64,185037.97,371825.61
"341",1844,"7",187714.49,186822.59,374537.08
"342",1844,"8",191699.14,191414.06,383113.2
"343",1844,"9",187910.87,187398.51,375309.38
