"","Year","Age","Female","Male","Total"
"1","1872","0",366030.52,376596.95,742627.47
"2","1872","1",239113.77,248387.32,487501.09
"3","1872","2",321605.65,333307.86,654913.51
"4","1872","3",300170.87,310453.19,610624.06
"5","1872","4",298499.52,302026.58,600526.1
"6","1872","5",296498.48,307185.02,603683.5
"7","1872","6",296308.12,308833.49,605141.61
"8","1872","7",295443.51,299926.4,595369.91
"9","1872","8",289604.18,303348.08,592952.26
"10","1872","9",256452.84,263794.93,520247.77
"11","1872","10",289746.18,293857.34,583603.52
"12","1872","11",231863.83,243957.66,475821.49
"13","1872","12",290851.76,305159.25,596011.01
"14","1872","13",245027,256406.59,501433.59
"15","1872","14",262248.26,269985.14,532233.4
"16","1872","15",258194.94,253397.4,511592.34
"17","1872","16",255402.23,247220.48,502622.71
"18","1872","17",237030.05,223632.16,460662.21
"19","1872","18",272237.58,246146.51,518384.09
"20","1872","19",218181.58,205284.72,423466.3
"21","1872","20",288709.39,257448.52,546157.91
"22","1872","21",205993.02,246027.59,452020.61
"23","1872","22",237004.58,236386.88,473391.46
"24","1872","23",213913.15,219451.44,433364.59
"25","1872","24",230433.94,209477.55,439911.49
"26","1872","25",236800.88,215919.01,452719.89
"27","1872","26",225068.67,226332.91,451401.58
"28","1872","27",205050.75,204903.93,409954.68
"29","1872","28",225893.56,218506.08,444399.64
"30","1872","29",152844.49,161757.38,314601.87
"31","1872","30",320058.92,275756.44,595815.36
"32","1872","31",139330.18,159376.43,298706.61
"33","1872","32",181130.74,184266.09,365396.83
"34","1872","33",157050.47,166238.73,323289.2
"35","1872","34",169157.86,171716.8,340874.66
"36","1872","35",206190.84,194302.86,400493.7
"37","1872","36",188402.56,189595.33,377997.89
"38","1872","37",151206.65,157526.81,308733.46
"39","1872","38",168902.33,171099.76,340002.09
"40","1872","39",113753,120369.99,234122.99
"41","1872","40",331777.92,301452.73,633230.65
"42","1872","41",110289.67,126496.06,236785.73
"43","1872","42",149678.76,157283.42,306962.18
"44","1872","43",116618.8,124929.36,241548.16
"45","1872","44",136452.52,137586.71,274039.23
"46","1872","45",184871.14,182262.37,367133.51
"47","1872","46",137824.13,142346.64,280170.77
"48","1872","47",121282.87,126425.84,247708.71
"49","1872","48",139986.02,141285.96,281271.98
"50","1872","49",99442.09,107133.64,206575.73
"51","1872","50",293279.28,271338.91,564618.19
"52","1872","51",91121.22,106662.26,197783.48
"53","1872","52",114626.69,127307.22,241933.91
"54","1872","53",84655.8,94521.42,179177.22
"55","1872","54",98139.07,99959.69,198098.76
"56","1872","55",114510.26,113296.85,227807.11
"57","1872","56",96339.87,101089.1,197428.97
"58","1872","57",74840.66,81050.14,155890.8
"59","1872","58",85411.53,89987.29,175398.82
"60","1872","59",58525.77,63530.35,122056.12
"61","1872","60",229415.31,199359.82,428775.13
"62","1872","61",59220.47,70451.73,129672.2
"63","1872","62",71450.73,81371.73,152822.46
"64","1872","63",59039.05,65752.61,124791.66
"65","1872","64",65501.31,70180.12,135681.43
"66","1872","65",82991.32,82117.56,165108.88
"67","1872","66",58856.11,64709.17,123565.28
"68","1872","67",47025.34,54256.25,101281.59
"69","1872","68",46600.8,50333.21,96934.01
"70","1872","69",32770.6,36504.67,69275.27
