"","Year","Age","Female","Male","Total"
"1",1850,"0",39671,40920,80591
"2",1850,"1",33995,34490,68485
"3",1850,"2",31863,31926,63789
"4",1850,"3",31733,32211,63944
"5",1850,"4",34595,34874,69469
"6",1850,"5",35175,36191,71366
"7",1850,"6",34121,34737,68858
"8",1850,"7",34071,34407,68478
"9",1850,"8",33572,34626,68198
"10",1850,"9",34217,34662,68879
"11",1850,"10",34102,34636,68738
"12",1850,"11",33273,33463,66736
"13",1850,"12",32497,32930,65427
"14",1850,"13",31557,32596,64153
"15",1850,"14",31710,31989,63699
"16",1850,"15",29671,29830,59501
"17",1850,"16",29772,30162,59934
"18",1850,"17",27055,26695,53750
"19",1850,"18",26403,26766,53169
"20",1850,"19",28869,28214,57083
"21",1850,"20",29382,28396,57778
"22",1850,"21",26648,26392,53040
"23",1850,"22",26613,25472,52085
"24",1850,"23",28418,27081,55499
"25",1850,"24",28675,27102,55777
"26",1850,"25",28649,28203,56852
"27",1850,"26",27548,26437,53985
"28",1850,"27",26021,25646,51667
"29",1850,"28",25001,24140,49141
"30",1850,"29",23450,22484,45934
"31",1850,"30",25064,23911,48975
"32",1850,"31",21002,20516,41518
"33",1850,"32",21278,20642,41920
"34",1850,"33",22722,21678,44400
"35",1850,"34",21147,20617,41764
"36",1850,"35",20512,19656,40168
"37",1850,"36",20389,19474,39863
"38",1850,"37",18722,18110,36832
"39",1850,"38",19931,18968,38899
"40",1850,"39",19098,17878,36976
"41",1850,"40",18426,17251,35677
"42",1850,"41",15606,15223,30829
"43",1850,"42",17152,16059,33211
"44",1850,"43",16695,15892,32587
"45",1850,"44",16733,15885,32618
"46",1850,"45",16309,15501,31810
"47",1850,"46",16258,15524,31782
"48",1850,"47",16255,15490,31745
"49",1850,"48",16268,14998,31266
"50",1850,"49",17314,15713,33027
"51",1850,"50",16900,15804,32704
"52",1850,"51",14121,13639,27760
"53",1850,"52",14531,13660,28191
"54",1850,"53",13440,12297,25737
"55",1850,"54",13384,11344,24728
"56",1850,"55",12519,10961,23480
"57",1850,"56",12330,10579,22909
"58",1850,"57",11989,10253,22242
"59",1850,"58",11359,9628,20987
"60",1850,"59",11442,8871,20313
"61",1850,"60",11190,8414,19604
"62",1850,"61",9932,8120,18052
"63",1850,"62",10546,8911,19457
"64",1850,"63",9301,7600,16901
"65",1850,"64",8928,7163,16091
"66",1850,"65",8168,6572,14740
"67",1850,"66",7327,5910,13237
"68",1850,"67",6315,5101,11416
"69",1850,"68",5696,4516,10212
"70",1850,"69",6354,5077,11431
"71",1850,"70",5891,4504,10395
"72",1850,"71",4435,3545,7980
"73",1850,"72",4826,3998,8824
"74",1850,"73",4110,3220,7330
"75",1850,"74",3953,3095,7048
"76",1850,"75",3702,2891,6593
"77",1850,"76",3143,2565,5708
"78",1850,"77",2916,2299,5215
"79",1850,"78",2388,1724,4112
"80",1850,"79",2459,1812,4271
"81",1850,"80",1825,1347,3172
