"","Year","Age","Female","Male","Total"
"1",1846,"0",17990,18382,36372
"2",1846,"1",16132,16699,32831
"3",1846,"2",16404,17089,33493
"4",1846,"3",17564,17337,34901
"5",1846,"4",16352,16367,32719
"6",1846,"5",14538,14412,28950
"7",1846,"6",13426,13563,26989
"8",1846,"7",13531,13824,27355
"9",1846,"8",13664,13985,27649
"10",1846,"9",13746,13956,27702
"11",1846,"10",14814,15139,29953
"12",1846,"11",14058,14367,28425
"13",1846,"12",13270,13702,26972
"14",1846,"13",12576,13403,25979
"15",1846,"14",12784,13423,26207
"16",1846,"15",13245,13592,26837
"17",1846,"16",13463,13974,27437
"18",1846,"17",12698,12862,25560
"19",1846,"18",12644,12756,25400
"20",1846,"19",13630,13669,27299
"21",1846,"20",13546,13064,26610
"22",1846,"21",12824,12105,24929
"23",1846,"22",13202,12586,25788
"24",1846,"23",12772,12031,24803
"25",1846,"24",13222,12347,25569
"26",1846,"25",12396,11613,24009
"27",1846,"26",11615,10849,22464
"28",1846,"27",10768,10257,21025
"29",1846,"28",11095,10488,21583
"30",1846,"29",11539,10963,22502
"31",1846,"30",9605,9208,18813
"32",1846,"31",7424,7251,14675
"33",1846,"32",7771,7528,15299
"34",1846,"33",8537,8388,16925
"35",1846,"34",7770,7673,15443
"36",1846,"35",7293,7374,14667
"37",1846,"36",6082,5968,12050
"38",1846,"37",7515,7315,14830
"39",1846,"38",7784,7699,15483
"40",1846,"39",7716,7759,15475
"41",1846,"40",7523,7341,14864
"42",1846,"41",6664,6512,13176
"43",1846,"42",7032,6685,13717
"44",1846,"43",6441,6069,12510
"45",1846,"44",7041,6754,13795
"46",1846,"45",7040,6690,13730
"47",1846,"46",6999,6607,13606
"48",1846,"47",6783,6386,13169
"49",1846,"48",6729,6305,13034
"50",1846,"49",6364,5928,12292
"51",1846,"50",6412,5946,12358
"52",1846,"51",6539,6029,12568
"53",1846,"52",6441,5930,12371
"54",1846,"53",6423,5868,12291
"55",1846,"54",5913,5371,11284
"56",1846,"55",5635,5095,10730
"57",1846,"56",5240,4709,9949
"58",1846,"57",5097,4571,9668
"59",1846,"58",4679,4151,8830
"60",1846,"59",4712,4143,8855
"61",1846,"60",4329,3699,8028
"62",1846,"61",4406,3731,8137
"63",1846,"62",3837,3214,7051
"64",1846,"63",4103,3413,7516
"65",1846,"64",3971,3277,7248
"66",1846,"65",3890,3182,7072
"67",1846,"66",3441,2777,6218
"68",1846,"67",3362,2687,6049
"69",1846,"68",3175,2501,5676
"70",1846,"69",2737,2125,4862
"71",1846,"70",3030,2362,5392
"72",1846,"71",2309,1830,4139
"73",1846,"72",1908,1507,3415
"74",1846,"73",1985,1568,3553
"75",1846,"74",2028,1580,3608
"76",1846,"75",1854,1423,3277
"77",1846,"76",1748,1307,3055
"78",1846,"77",1491,1109,2600
"79",1846,"78",1427,1040,2467
"80",1846,"79",1222,893,2115
"81",1846,"80",1289,879,2168
"82",1846,"81",1186,812,1998
"83",1846,"82",1064,719,1783
"84",1846,"83",925,629,1554
"85",1846,"84",794,520,1314
"86",1846,"85",682,424,1106
"87",1846,"86",574,335,909
"88",1846,"87",458,263,721
"89",1846,"88",372,197,569
"90",1846,"89",287,163,450
"91",1846,"90",210,115,325
"92",1846,"91",171,96,267
"93",1846,"92",144,74,218
"94",1846,"93",117,54,171
"95",1846,"94",90,45,135
"96",1846,"95",75,39,114
"97",1846,"96",55,20,75
"98",1846,"97",37,17,54
"99",1846,"98",31,13,44
"100",1846,"99",21,10,31
"101",1846,"100",10,4,14
"102",1846,"101",7,3,10
"103",1846,"102",5,1,6
"104",1846,"103",3,1,4
"105",1846,"104",2,0,2
"106",1846,"105",1,0,1
"107",1846,"106",0,0,0
"108",1846,"107",0,0,0
"109",1846,"108",0,0,0
"110",1846,"109",0,0,0
"111",1846,"110+",0,0,0
"112",1847,"0",18742,19544,38286
"113",1847,"1",16949,17265,34214
"114",1847,"2",15692,16232,31924
"115",1847,"3",15986,16677,32663
"116",1847,"4",17088,16958,34046
"117",1847,"5",16009,16110,32119
"118",1847,"6",14323,14227,28550
"119",1847,"7",13266,13430,26696
"120",1847,"8",13407,13706,27113
"121",1847,"9",13578,13880,27458
"122",1847,"10",13738,13871,27609
"123",1847,"11",14841,15044,29885
"124",1847,"12",14153,14281,28434
"125",1847,"13",13393,13628,27021
"126",1847,"14",12694,13327,26021
"127",1847,"15",12895,13372,26267
"128",1847,"16",13363,13547,26910
"129",1847,"17",13564,13920,27484
"130",1847,"18",12774,12802,25576
"131",1847,"19",12685,12690,25375
"132",1847,"20",13609,13552,27161
"133",1847,"21",13450,12945,26395
"134",1847,"22",12694,11989,24683
"135",1847,"23",13031,12463,25494
"136",1847,"24",12575,11899,24474
"137",1847,"25",12999,12201,25200
"138",1847,"26",12175,11466,23641
"139",1847,"27",11400,10718,22118
"140",1847,"28",10564,10125,20689
"141",1847,"29",10891,10339,21230
"142",1847,"30",11325,10789,22114
"143",1847,"31",9461,9079,18540
"144",1847,"32",7314,7151,14465
"145",1847,"33",7658,7421,15079
"146",1847,"34",8415,8267,16682
"147",1847,"35",7675,7561,15236
"148",1847,"36",7202,7265,14467
"149",1847,"37",6028,5883,11911
"150",1847,"38",7446,7221,14667
"151",1847,"39",7735,7609,15344
"152",1847,"40",7655,7648,15303
"153",1847,"41",7502,7269,14771
"154",1847,"42",6650,6441,13091
"155",1847,"43",7028,6624,13652
"156",1847,"44",6431,6007,12438
"157",1847,"45",7019,6670,13689
"158",1847,"46",6989,6611,13600
"159",1847,"47",6929,6510,13439
"160",1847,"48",6688,6272,12960
"161",1847,"49",6630,6197,12827
"162",1847,"50",6252,5798,12050
"163",1847,"51",6331,5852,12183
"164",1847,"52",6453,5907,12360
"165",1847,"53",6347,5817,12164
"166",1847,"54",6334,5753,12087
"167",1847,"55",5828,5262,11090
"168",1847,"56",5553,4996,10549
"169",1847,"57",5184,4619,9803
"170",1847,"58",5041,4486,9527
"171",1847,"59",4624,4069,8693
"172",1847,"60",4589,4024,8613
"173",1847,"61",4251,3614,7865
"174",1847,"62",4305,3614,7919
"175",1847,"63",3733,3104,6837
"176",1847,"64",3963,3264,7227
"177",1847,"65",3833,3131,6964
"178",1847,"66",3734,3025,6759
"179",1847,"67",3304,2638,5942
"180",1847,"68",3203,2545,5748
"181",1847,"69",3036,2368,5404
"182",1847,"70",2587,1988,4575
"183",1847,"71",2920,2258,5178
"184",1847,"72",2208,1733,3941
"185",1847,"73",1827,1425,3252
"186",1847,"74",1871,1474,3345
"187",1847,"75",1887,1463,3350
"188",1847,"76",1728,1311,3039
"189",1847,"77",1605,1186,2791
"190",1847,"78",1357,992,2349
"191",1847,"79",1310,936,2246
"192",1847,"80",1288,875,2163
"193",1847,"81",1178,796,1974
"194",1847,"82",1063,724,1787
"195",1847,"83",940,631,1571
"196",1847,"84",795,527,1322
"197",1847,"85",686,444,1130
"198",1847,"86",587,348,935
"199",1847,"87",487,275,762
"200",1847,"88",377,208,585
"201",1847,"89",312,160,472
"202",1847,"90",201,110,311
"203",1847,"91",167,89,256
"204",1847,"92",134,71,205
"205",1847,"93",113,52,165
"206",1847,"94",92,38,130
"207",1847,"95",68,32,100
"208",1847,"96",55,26,81
"209",1847,"97",37,15,52
"210",1847,"98",25,11,36
"211",1847,"99",26,10,36
"212",1847,"100",8,5,13
"213",1847,"101",6,2,8
"214",1847,"102",6,1,7
"215",1847,"103",3,1,4
"216",1847,"104",2,0,2
"217",1847,"105",1,0,1
"218",1847,"106",0,0,0
"219",1847,"107",0,0,0
"220",1847,"108",0,0,0
"221",1847,"109",0,0,0
"222",1847,"110+",0,0,0
"223",1848,"0",18786,19540,38326
"224",1848,"1",17386,18075,35461
"225",1848,"2",16431,16710,33141
"226",1848,"3",15287,15880,31167
"227",1848,"4",15607,16313,31920
"228",1848,"5",16672,16635,33307
"229",1848,"6",15659,15836,31495
"230",1848,"7",14095,14042,28137
"231",1848,"8",13092,13270,26362
"232",1848,"9",13264,13573,26837
"233",1848,"10",13505,13771,27276
"234",1848,"11",13708,13768,27476
"235",1848,"12",14854,14929,29783
"236",1848,"13",14223,14175,28398
"237",1848,"14",13487,13538,27025
"238",1848,"15",12786,13232,26018
"239",1848,"16",12973,13292,26265
"240",1848,"17",13457,13465,26922
"241",1848,"18",13641,13827,27468
"242",1848,"19",12815,12699,25514
"243",1848,"20",12693,12575,25268
"244",1848,"21",13582,13418,27000
"245",1848,"22",13348,12814,26162
"246",1848,"23",12558,11867,24425
"247",1848,"24",12848,12331,25179
"248",1848,"25",12372,11750,24122
"249",1848,"26",12771,12040,24811
"250",1848,"27",11948,11319,23267
"251",1848,"28",11176,10569,21745
"252",1848,"29",10358,9997,20355
"253",1848,"30",10666,10160,20826
"254",1848,"31",11114,10625,21739
"255",1848,"32",9299,8947,18246
"256",1848,"33",7196,7040,14236
"257",1848,"34",7533,7311,14844
"258",1848,"35",8292,8137,16429
"259",1848,"36",7561,7439,15000
"260",1848,"37",7113,7149,14262
"261",1848,"38",5956,5798,11754
"262",1848,"39",7379,7122,14501
"263",1848,"40",7647,7490,15137
"264",1848,"41",7598,7553,15151
"265",1848,"42",7457,7174,14631
"266",1848,"43",6624,6373,12997
"267",1848,"44",7006,6547,13553
"268",1848,"45",6409,5928,12337
"269",1848,"46",6983,6596,13579
"270",1848,"47",6925,6513,13438
"271",1848,"48",6839,6396,13235
"272",1848,"49",6585,6157,12742
"273",1848,"50",6489,6048,12537
"274",1848,"51",6143,5695,11838
"275",1848,"52",6223,5723,11946
"276",1848,"53",6337,5783,12120
"277",1848,"54",6241,5685,11926
"278",1848,"55",6219,5616,11835
"279",1848,"56",5722,5139,10861
"280",1848,"57",5467,4883,10350
"281",1848,"58",5107,4516,9623
"282",1848,"59",4967,4390,9357
"283",1848,"60",4486,3944,8430
"284",1848,"61",4492,3926,8418
"285",1848,"62",4154,3496,7650
"286",1848,"63",4176,3482,7658
"287",1848,"64",3590,2961,6551
"288",1848,"65",3808,3107,6915
"289",1848,"66",3663,2963,6626
"290",1848,"67",3567,2859,6426
"291",1848,"68",3127,2482,5609
"292",1848,"69",3038,2389,5427
"293",1848,"70",2840,2186,5026
"294",1848,"71",2465,1867,4332
"295",1848,"72",2764,2108,4872
"296",1848,"73",2091,1609,3700
"297",1848,"74",1703,1316,3019
"298",1848,"75",1718,1337,3055
"299",1848,"76",1735,1323,3058
"300",1848,"77",1562,1164,2726
"301",1848,"78",1440,1035,2475
"302",1848,"79",1227,870,2097
"303",1848,"80",1269,856,2125
"304",1848,"81",1162,782,1944
"305",1848,"82",1037,698,1735
"306",1848,"83",922,626,1548
"307",1848,"84",792,518,1310
"308",1848,"85",672,443,1115
"309",1848,"86",579,359,938
"310",1848,"87",487,281,768
"311",1848,"88",395,214,609
"312",1848,"89",309,167,476
"313",1848,"90",217,117,334
"314",1848,"91",154,89,243
"315",1848,"92",126,69,195
"316",1848,"93",100,53,153
"317",1848,"94",85,39,124
"318",1848,"95",67,28,95
"319",1848,"96",46,22,68
"320",1848,"97",36,22,58
"321",1848,"98",24,10,34
"322",1848,"99",19,8,27
"323",1848,"100",8,4,12
"324",1848,"101",3,2,5
"325",1848,"102",4,0,4
"326",1848,"103",3,1,4
"327",1848,"104",2,0,2
"328",1848,"105",1,0,1
"329",1848,"106",0,0,0
"330",1848,"107",0,0,0
"331",1848,"108",0,0,0
"332",1848,"109",0,0,0
"333",1848,"110+",0,0,0
"334",1849,"0",18537,18771,37308
"335",1849,"1",17506,18108,35614
"336",1849,"2",16863,17483,34346
"337",1849,"3",16101,16381,32482
"338",1849,"4",15025,15617,30642
"339",1849,"5",15366,16065,31431
"340",1849,"6",16323,16366,32689
"341",1849,"7",15351,15620,30971
"342",1849,"8",13899,13877,27776
"343",1849,"9",12940,13139,26079
"344",1849,"10",13172,13481,26653
"345",1849,"11",13441,13681,27122
"346",1849,"12",13697,13680,27377
"347",1849,"13",14871,14828,29699
"348",1849,"14",14295,14088,28383
"349",1849,"15",13588,13462,27050
"350",1849,"16",12880,13140,26020
"351",1849,"17",13063,13212,26275
"352",1849,"18",13564,13388,26952
"353",1849,"19",13720,13741,27461
"354",1849,"20",12858,12581,25439
"355",1849,"21",12709,12460,25169
"356",1849,"22",13560,13291,26851
"357",1849,"23",13253,12693,25946
"358",1849,"24",12423,11752,24175
"359",1849,"25",12672,12197,24869
"360",1849,"26",12175,11600,23775
"361",1849,"27",12549,11894,24443
"362",1849,"28",11724,11167,22891
"363",1849,"29",10961,10437,21398
"364",1849,"30",10132,9843,19975
"365",1849,"31",10454,9995,20449
"366",1849,"32",10889,10458,21347
"367",1849,"33",9137,8803,17940
"368",1849,"34",7073,6927,14000
"369",1849,"35",7414,7192,14606
"370",1849,"36",8156,7997,16153
"371",1849,"37",7456,7308,14764
"372",1849,"38",7012,7031,14043
"373",1849,"39",5893,5711,11604
