"","Year","Age","Female","Male","Total"
"1",1751,"0",28595.61,28608.93,57204.54
"2",1751,"1",26191.55,25873.44,52064.99
"3",1751,"2",26508.24,26127.31,52635.55
"4",1751,"3",22053.87,21638.37,43692.24
"5",1751,"4",18244.12,17681.68,35925.8
"6",1751,"5",18296.82,17824.89,36121.71
"7",1751,"6",18094.76,17920.14,36014.9
"8",1751,"7",18040.69,18125.9,36166.59
"9",1751,"8",18324.15,18583.2,36907.35
"10",1751,"9",18807.98,19139.68,37947.66
"11",1751,"10",18296.14,18322.33,36618.47
"12",1751,"11",17713.5,17566.63,35280.13
"13",1751,"12",17039.1,16805.54,33844.64
"14",1751,"13",16449.55,16213.91,32663.46
"15",1751,"14",15939.98,15716.37,31656.35
"16",1751,"15",16570.65,15879.36,32450.01
"17",1751,"16",17010.95,16050.4,33061.35
"18",1751,"17",17118.63,15864.86,32983.49
"19",1751,"18",17282.31,15289.38,32571.69
"20",1751,"19",17430.77,14751.75,32182.52
"21",1751,"20",16901.85,14317.51,31219.36
"22",1751,"21",16460.07,13905.93,30366
"23",1751,"22",16088.59,13757.83,29846.42
"24",1751,"23",15822.2,13927.85,29750.05
"25",1751,"24",15370.35,13839.19,29209.54
"26",1751,"25",15391.02,13943.58,29334.6
"27",1751,"26",15450.72,13952.54,29403.26
"28",1751,"27",15468.8,13797.98,29266.78
"29",1751,"28",15448.83,13718.29,29167.12
"30",1751,"29",15287.97,13599.83,28887.8
"31",1751,"30",14314.7,12784.88,27099.58
"32",1751,"31",13352.42,11933.6,25286.02
"33",1751,"32",12350.63,11137.09,23487.72
"34",1751,"33",11436.73,10467.99,21904.72
"35",1751,"34",10627.16,9866.04,20493.2
"36",1751,"35",10810.93,10002.34,20813.27
"37",1751,"36",11164.94,10237.46,21402.4
"38",1751,"37",11538.23,10443.06,21981.29
"39",1751,"38",11989.25,10604.41,22593.66
"40",1751,"39",12265.8,10604.31,22870.11
"41",1751,"40",11233.71,9676.58,20910.29
"42",1751,"41",10322.27,8924.75,19247.02
"43",1751,"42",9473.27,8306.42,17779.69
"44",1751,"43",8627.03,7737.15,16364.18
"45",1751,"44",7795.34,7095.81,14891.15
"46",1751,"45",8121.22,7271.04,15392.26
"47",1751,"46",8659.56,7615.27,16274.83
"48",1751,"47",9314.69,7982.92,17297.61
"49",1751,"48",10155.2,8486.4,18641.6
"50",1751,"49",10956.27,8857.04,19813.31
"51",1751,"50",9911.9,8061.75,17973.65
"52",1751,"51",8861.08,7176.68,16037.76
"53",1751,"52",7861.81,6281.76,14143.57
"54",1751,"53",6968.06,5470.44,12438.5
"55",1751,"54",6123.67,4769.04,10892.71
"56",1751,"55",6343.53,4832.72,11176.25
"57",1751,"56",6672,5002.55,11674.55
"58",1751,"57",7147.67,5239.44,12387.11
"59",1751,"58",7876.66,5542.7,13419.36
"60",1751,"59",8735.82,5825.66,14561.48
"61",1751,"60",8544.61,5621.9,14166.51
"62",1751,"61",8311.95,5463.6,13775.55
"63",1751,"62",7760.1,5163.31,12923.41
"64",1751,"63",7074.47,4857.49,11931.96
"65",1751,"64",6286.88,4531.52,10818.4
"66",1751,"65",6048.71,4312.67,10361.38
"67",1751,"66",5876.15,4117.64,9993.79
"68",1751,"67",5771.78,3941.05,9712.83
"69",1751,"68",5664.79,3744.55,9409.34
"70",1751,"69",5580.32,3516.75,9097.07
"71",1751,"70",4895.12,3130.77,8025.89
"72",1751,"71",4223.91,2760.48,6984.39
"73",1751,"72",3564.4,2374.04,5938.44
"74",1751,"73",2926.81,1992.61,4919.42
"75",1751,"74",2339.58,1629.25,3968.83
"76",1751,"75",2163.34,1447.67,3611.01
"77",1751,"76",2026.73,1306.98,3333.71
"78",1751,"77",1952.99,1207.63,3160.62
"79",1751,"78",1927.69,1141.88,3069.57
"80",1751,"79",1843.71,1095.7,2939.41
"81",1751,"80",1638.03,969.37,2607.4
"82",1751,"81",1431.32,842.16,2273.48
"83",1751,"82",1227.15,717.26,1944.41
"84",1751,"83",1029.21,600.12,1629.33
"85",1751,"84",852.88,494.64,1347.52
"86",1751,"85",700.88,401.27,1102.15
"87",1751,"86",569.74,328.92,898.66
"88",1751,"87",464.3,273.21,737.51
"89",1751,"88",381.26,224.14,605.4
"90",1751,"89",316.54,182.97,499.51
"91",1751,"90",255.82,145.85,401.67
"92",1751,"91",201.42,115.62,317.04
"93",1751,"92",156.58,90.41,246.99
"94",1751,"93",120.1,70.56,190.66
"95",1751,"94",91.21,54.67,145.88
"96",1751,"95",68.4,41.91,110.31
"97",1751,"96",50.32,31.32,81.64
"98",1751,"97",36.42,22.92,59.34
"99",1751,"98",26.38,16.89,43.27
"100",1751,"99",18.22,12.21,30.43
"101",1751,"100",12.67,8.48,21.15
"102",1751,"101",8.59,5.68,14.27
"103",1751,"102",5.27,3.88,9.15
"104",1751,"103",3.03,2.76,5.79
"105",1751,"104",1.68,1.27,2.95
"106",1751,"105",0.96,0.68,1.64
"107",1751,"106",0.64,0.25,0.89
"108",1751,"107",0,0,0
"109",1751,"108",0,0,0
"110",1751,"109",0,0,0
"111",1751,"110+",0,0,0
"112",1752,"0",27192,27939,55131
"113",1752,"1",25797.3,25404.87,51202.17
"114",1752,"2",25250.2,24877.63,50127.83
"115",1752,"3",25780.64,25360.1,51140.74
"116",1752,"4",21507.86,21062.9,42570.76
"117",1752,"5",17843.34,17253.27,35096.61
"118",1752,"6",18009.54,17512.94,35522.48
"119",1752,"7",17898.42,17699.7,35598.12
"120",1752,"8",17906.47,17968.93,35875.4
"121",1752,"9",18223.23,18461.67,36684.9
"122",1752,"10",18715.67,19029.43,37745.1
"123",1752,"11",18196.57,18208.13,36404.7
"124",1752,"12",17608.56,17449.81,35058.37
"125",1752,"13",16932.05,16688.77,33620.82
"126",1752,"14",16343.65,16099.85,32443.5
"127",1752,"15",15837.99,15608.18,31446.17
"128",1752,"16",16473.25,15775.18,32248.43
"129",1752,"17",16916.26,15949.06,32865.32
"130",1752,"18",17024.35,15763.74,32788.09
"131",1752,"19",17186.15,15185.84,32371.99
"132",1752,"20",17329.89,14641.16,31971.05
"133",1752,"21",16796.83,14203.69,31000.52
"134",1752,"22",16350.5,13787.61,30138.11
"135",1752,"23",15975.04,13636.25,29611.29
"136",1752,"24",15705.23,13804.29,29509.52
"137",1752,"25",15250.17,13714.14,28964.31
"138",1752,"26",15267.56,13818.35,29085.91
"139",1752,"27",15322.48,13825.83,29148.31
"140",1752,"28",15334.27,13668.85,29003.12
"141",1752,"29",15306.52,13585.83,28892.35
"142",1752,"30",15136.83,13464.13,28600.96
"143",1752,"31",14156.51,12645.69,26802.2
"144",1752,"32",13191.46,11794.35,24985.81
"145",1752,"33",12191.79,11000.89,23192.68
"146",1752,"34",11284.91,10337.94,21622.85
"147",1752,"35",10486.8,9745.74,20232.54
"148",1752,"36",10680.93,9888.83,20569.76
"149",1752,"37",11041.06,10128.22,21169.28
"150",1752,"38",11414.88,10333.69,21748.57
"151",1752,"39",11860.84,10490.52,22351.36
"152",1752,"40",12127.61,10482.79,22610.4
"153",1752,"41",11085.8,9545.44,20631.24
"154",1752,"42",10169.43,8787.04,18956.47
"155",1752,"43",9321.34,8165.22,17486.56
"156",1752,"44",8481.82,7595.52,16077.34
"157",1752,"45",7661.69,6956.74,14618.43
"158",1752,"46",7998.96,7133.73,15132.69
"159",1752,"47",8543.35,7477.58,16020.93
"160",1752,"48",9198.12,7841.77,17039.89
"161",1752,"49",10031.88,8338.69,18370.57
"162",1752,"50",10820.91,8700.29,19521.2
"163",1752,"51",9763.46,7896.92,17660.38
"164",1752,"52",8704.02,7008.07,15712.09
"165",1752,"53",7701.44,6114.38,13815.82
"166",1752,"54",6809.67,5309.34,12119.01
"167",1752,"55",5971.51,4618.09,10589.6
"168",1752,"56",6195.73,4690.29,10886.02
"169",1752,"57",6520.92,4861,11381.92
"170",1752,"58",6984.31,5090,12074.31
"171",1752,"59",7692.04,5376.62,13068.66
"172",1752,"60",8523.37,5635.86,14159.23
"173",1752,"61",8302.14,5407.61,13709.75
"174",1752,"62",8047.59,5232.32,13279.91
"175",1752,"63",7482.65,4923.77,12406.42
"176",1752,"64",6792.75,4618.44,11411.19
"177",1752,"65",6009.66,4301.1,10310.76
"178",1752,"66",5775.54,4092.04,9867.58
"179",1752,"67",5603.77,3903.75,9507.52
"180",1752,"68",5494.54,3729.16,9223.7
"181",1752,"69",5377,3529.94,8906.94
"182",1752,"70",5278.45,3296.04,8574.49
"183",1752,"71",4579.98,2904.09,7484.07
"184",1752,"72",3905.85,2534.19,6440.04
"185",1752,"73",3254.53,2155.13,5409.66
"186",1752,"74",2636.19,1788.05,4424.24
"187",1752,"75",2078.39,1445.47,3523.86
"188",1752,"76",1931.25,1284.61,3215.86
"189",1752,"77",1816.81,1160.6,2977.41
"190",1752,"78",1755.66,1072.31,2827.97
"191",1752,"79",1733.38,1012.01,2745.39
"192",1752,"80",1644.26,966.31,2610.57
"193",1752,"81",1432.4,839.56,2271.96
"194",1752,"82",1226.28,714.83,1941.11
"195",1752,"83",1031.06,596.2,1627.26
"196",1752,"84",850.4,489.12,1339.52
"197",1752,"85",698.09,396.53,1094.62
"198",1752,"86",573.59,318.11,891.7
"199",1752,"87",465.74,258.62,724.36
"200",1752,"88",378.97,213.75,592.72
"201",1752,"89",309.99,173.5,483.49
"202",1752,"90",246.18,136.82,383
"203",1752,"91",192.43,107.06,299.49
"204",1752,"92",148.39,83.15,231.54
"205",1752,"93",112.78,63.55,176.33
"206",1752,"94",84.39,48.6,132.99
"207",1752,"95",62.49,36.95,99.44
"208",1752,"96",45.62,27.78,73.4
"209",1752,"97",32.51,20.2,52.71
"210",1752,"98",22.7,14.28,36.98
"211",1752,"99",15.96,10.28,26.24
"212",1752,"100",10.44,7.22,17.66
"213",1752,"101",6.94,4.76,11.7
"214",1752,"102",4.45,2.96,7.41
"215",1752,"103",2.32,1.91,4.23
"216",1752,"104",0.96,1.36,2.32
"217",1752,"105",0.26,0.28,0.54
"218",1752,"106",0,0,0
"219",1752,"107",0,0,0
"220",1752,"108",0,0,0
"221",1752,"109",0,0,0
"222",1752,"110+",0,0,0
"223",1753,"0",26931.5,27637,54568.5
