Time,Population,Mortality
1950,4251.526,0.009189
1951,4283.862,0.008823000000000001
1952,4315.296,0.009057
1953,4346.217,0.009019000000000001
1954,4378.749,0.009075
1955,4409.891,0.008764
1956,4443.125,0.008882
1957,4475.992,0.009298
1958,4506.109,0.009195
1959,4536.549,0.009257
1960,4566.332,0.009545
1961,4597.122,0.00939
1962,4629.746,0.00976
1963,4662.243,0.009793
1964,4699.381,0.009923
1965,4736.652,0.010077
1966,4776.023,0.010304
1967,4816.783,0.009906
1968,4852.678,0.009727
1969,4882.79,0.009805999999999999
1970,4909.524,0.00982
1971,4936.403,0.009885
1972,4966.57,0.010141
1973,4995.585,0.010107
1974,5021.577,0.010269
1975,5045.568,0.010067999999999999
1976,5070.837,0.010662000000000001
1977,5086.709,0.009935000000000001
1978,5102.488,0.010372
1979,5115.372,0.010706
1980,5123.465,0.010936
1981,5127.32,0.011026999999999999
1982,5126.642,0.010811
1983,5126.154,0.011167999999999999
1984,5122.509,0.011176
1985,5120.119,0.011434
1986,5118.785,0.011372
1987,5119.953,0.011379
1988,5123.066,0.011519
1989,5129.148,0.011606
1990,5138.712,0.011864000000000001
1991,5150.535,0.011589
1992,5166.115,0.011773
1993,5184.823,0.012107
1994,5202.728,0.011749
1995,5224.871,0.012073
1996,5245.522,0.011635999999999999
1997,5266.493,0.011372
1998,5288.27,0.01107
1999,5309.714,0.011149
2000,5329.994,0.010878
2001,5351.316,0.010919
2002,5370.181,0.010919
2003,5387.213,0.010701
2004,5405.497,0.010333
2005,5425.675,0.010127
2006,5446.95,0.010202
2007,5468.779,0.010173
2008,5490.665,0.009965
2009,5514.837,0.009968
2010,5538.067,0.009792
2011,5563.63,0.009462
2012,5588.402,0.009351000000000002
2013,5613.517,0.009375
2014,5637.252,0.009136
2015,5664.053,0.009307000000000001
2016,5691.539,0.009274
2017,5722.175,0.009305999999999998
2018,5752.394,0.009597
2019,5780.978,0.009328
