Time,Population,Mortality
1950,41651.596,0.012769
1951,42033.113,0.013433
1952,42360.201,0.012358000000000001
1953,42724.6,0.013029
1954,43041.994,0.012037
1955,43409.293,0.012106
1956,43778.409,0.012455
1957,44140.033,0.012018000000000001
1958,44536.149,0.011199
1959,44972.567,0.011269
1960,45431.131,0.011427
1961,45888.019,0.010853999999999999
1962,46398.041,0.011574
1963,46872.337,0.011776
1964,47370.156,0.010848
1965,47913.747,0.011231999999999999
1966,48423.86,0.010817
1967,48942.313,0.011011
1968,49420.508,0.011137000000000001
1969,49874.049,0.011434
1970,50300.049,0.01074
1971,50747.124,0.010881
1972,51194.273,0.010702
1973,51626.452,0.010791
1974,52001.698,0.010593
1975,52325.406,0.01069
1976,52574.654,0.010595
1977,52795.877,0.010138999999999999
1978,53055.007,0.010298999999999999
1979,53295.611,0.010151
1980,53561.952,0.010192999999999999
1981,53865.708,0.010285
1982,54167.79,0.010012
1983,54471.502,0.010269
1984,54713.256,0.009904999999999999
1985,54978.703,0.010042
1986,55237.509,0.009898
1987,55505.768,0.009492
1988,55777.315,0.009389
1989,56045.642,0.009425000000000001
1990,56294.255,0.009334
1991,56531.539,0.009257
1992,56758.892,0.009170999999999999
1993,56969.204,0.009325
1994,57138.259,0.009080999999999999
1995,57321.87,0.009246
1996,57518.838,0.009298
1997,57727.518,0.009176
1998,57951.209,0.009203
1999,58209.48,0.009226000000000002
2000,58494.936,0.009061
2001,58835.97,0.008997999999999999
2002,59193.575,0.009019000000000001
2003,59551.997,0.009235
2004,59904.526,0.008466
2005,60312.35,0.008701
2006,60707.809,0.008472
2007,61130.491,0.008494999999999999
2008,61528.26,0.008622
2009,61913.758,0.008673
2010,62272.834,0.008664999999999999
2011,62616.3,0.008522
2012,62934.237,0.008859
2013,63208.594,0.00882
2014,63461.766,0.008602
2015,63715.216,0.009125
2016,63904.322,0.009074
2017,64074.315,0.009272
2018,64213.858,0.009287
2019,64341.757,0.009359
