Time,Population,Mortality
1950,6986.151,0.010018
1951,7043.069,0.009881000000000001
1952,7093.782,0.009599
1953,7145.121,0.009704
1954,7194.829,0.009564999999999999
1955,7240.361,0.009463
1956,7288.341,0.009603
1957,7335.87,0.009930999999999999
1958,7380.37,0.009602000000000001
1959,7426.214,0.009510999999999999
1960,7472.432,0.010032
1961,7513.358,0.009773
1962,7559.263,0.010147999999999999
1963,7606.007,0.010046
1964,7659.854,0.009986
1965,7723.791,0.010097
1966,7787.713,0.010051000000000001
1967,7852.229,0.010144
1968,7913.059,0.01041
1969,7962.494,0.01046
1970,8004.576,0.009977999999999999
1971,8050.827,0.010243
1972,8096.812,0.010352
1973,8138.619,0.010505
1974,8175.258,0.010548
1975,8211.049,0.010735
1976,8237.768,0.011009999999999999
1977,8256.222,0.01068
1978,8274.261,0.010829
1979,8288.336,0.010981999999999999
1980,8303.731,0.01105
1981,8319.794,0.011063
1982,8333.58,0.010889
1983,8347.866,0.010874
1984,8362.348,0.010815
1985,8380.231,0.011226000000000002
1986,8399.595,0.011106
1987,8423.987,0.011073000000000001
1988,8452.001,0.011423
1989,8484.273,0.010837
1990,8525.691,0.011137000000000001
1991,8571.12,0.011083
1992,8617.221,0.010971
1993,8663.323,0.01117
1994,8703.486,0.01052
1995,8743.435,0.010733000000000001
1996,8773.556,0.010709
1997,8797.431,0.010596
1998,8818.307,0.010582000000000001
1999,8838.959,0.010721
2000,8858.793,0.010542
2001,8883.294,0.010558999999999999
2002,8910.203,0.010662000000000001
2003,8941.821,0.010378
2004,8981.192,0.010077
2005,9027.333,0.010176000000000001
2006,9076.143,0.010035
2007,9133.296,0.010033
2008,9195.249,0.00993
2009,9263.292,0.009718
2010,9339.534,0.009688
2011,9423.925,0.009526
2012,9510.85,0.009644999999999999
2013,9601.123,0.009392
2014,9696.741,0.009155
2015,9798.276,0.009269
2016,9900.421,0.009172000000000001
2017,10006.213,0.00917
2018,10110.167,0.009108
2019,10214.429,0.008674
