Time,Population,Mortality
1950,539190.005,0.023192
1951,548768.461,0.022411999999999998
1952,558459.515,0.02197
1953,571449.53,0.021228
1954,583307.835,0.020579
1955,596564.173,0.020186
1956,610076.12,0.019402000000000003
1957,622489.923,0.018991
1958,637516.126,0.018238
1959,650067.035,0.024832
1960,654291.352,0.029992
1961,654050.032,0.022216
1962,656470.729,0.01564
1963,672758.57,0.016137000000000002
1964,695048.544,0.01554
1965,714138.999,0.014835000000000001
1966,733553.699,0.014168
1967,752343.382,0.013442
1968,769669.139,0.013103
1969,791074.773,0.012650999999999999
1970,811787.18,0.012058
1971,833281.72,0.011343
1972,853289.127,0.010705
1973,872391.679,0.010064
1974,890912.481,0.009531000000000001
1975,907822.798,0.009011
1976,922426.524,0.008532999999999999
1977,936325.323,0.008152
1978,948837.342,0.007885
1979,961440.543,0.007706
1980,975157.395,0.007573000000000001
1981,989587.537,0.007443
1982,1004931.467,0.007369
1983,1022034.864,0.007186
1984,1036418.949,0.007105
1985,1051925.445,0.007073
1986,1068554.513,0.007063
1987,1086986.534,0.007043
1988,1106717.151,0.006959
1989,1125062.453,0.006929
1990,1143766.993,0.006964000000000001
1991,1163641.512,0.006849999999999999
1992,1177610.829,0.006594
1993,1190015.949,0.006441
1994,1201695.166,0.006409
1995,1212878.184,0.006295
1996,1223410.668,0.006312
1997,1233187.003,0.0062629999999999995
1998,1242415.893,0.006174000000000001
1999,1251256.317,0.006247
2000,1259610.155,0.006221
2001,1268587.983,0.006038
2002,1276891.18,0.006063
2003,1284961.061,0.006096
2004,1292785.672,0.006138
2005,1300847.75,0.006178
2006,1308927.373,0.006199
2007,1317245.762,0.0062889999999999995
2008,1325780.685,0.006422
2009,1334553.612,0.0064139999999999996
2010,1343697.578,0.006481
2011,1352685.158,0.006528
2012,1361505.803,0.006584
2013,1371615.833,0.0066500000000000005
2014,1380584.782,0.006715
2015,1389794.555,0.006782
2016,1397636.342,0.006863
2017,1406143.019,0.007077
2018,1414408.894,0.006981
2019,1419730.043,0.007078
